E_sim,E_solver,base,d_nu,f,gap,k_soft,n_bonds,n_diluted,nu_sim,nu_solver,ok,seed,sign_flip,z_live
1.1547005383791242,1.1547005383792515,regular,1.1102230246251565e-16,0.0,1.1047538532751866e-13,0.01,360,0,0.33333333333333337,0.33333333333333326,1,0,0,6.0
0.9964819778861573,0.9964819778862626,regular,2.7200464103316335e-15,0.05,1.1258127469839197e-13,0.01,360,18,0.340780051753577,0.3407800517535797,1,0,0,5.7
0.9873348602926288,0.9873348602927597,regular,8.104628079763643e-15,0.05,1.5386662992632912e-13,0.01,360,18,0.3306372433969495,0.3306372433969414,1,1,0,5.7
0.9772725096134414,0.9772725096135533,regular,1.609823385706477e-15,0.05,1.1860402775360088e-13,0.01,360,18,0.34350825147007535,0.34350825147007374,1,2,0,5.7
0.8532025190660284,0.8532025190661305,regular,3.3306690738754696e-15,0.1,1.289829629192021e-13,0.01,360,36,0.3093462151267635,0.3093462151267602,1,0,0,5.4
0.8198110701484137,0.8198110701485057,regular,4.3298697960381105e-15,0.1,1.2357615530585832e-13,0.01,360,36,0.33285418184720184,0.3328541818471975,1,1,0,5.4
0.7987312002966549,0.7987312002967486,regular,5.88418203051333e-15,0.1,1.3183006537301313e-13,0.01,360,36,0.35537301582935166,0.3553730158293458,1,2,0,5.4
0.6604691786744534,0.6604691786744965,regular,2.0872192862952943e-14,0.15,1.2140750498381015e-13,0.01,360,54,0.32148246633530225,0.3214824663353231,1,0,0,5.1
0.6828131882166524,0.6828131882167466,regular,2.3314683517128287e-14,0.15,2.0473903616500892e-13,0.01,360,54,0.2995689700992381,0.2995689700992148,1,1,0,5.1
0.6596904061248678,0.659690406124938,regular,1.0269562977782698e-14,0.15,1.3076646192750058e-13,0.01,360,54,0.37080950047750844,0.37080950047749817,1,2,0,5.1
0.47812445214297383,0.4781244521430389,regular,7.105427357601002e-15,0.2,1.51106023718329e-13,0.01,360,72,0.42260464185986796,0.42260464185986085,1,0,0,4.8
0.49751767783206263,0.4975176778321195,regular,1.2656542480726785e-14,0.2,1.4128009541781834e-13,0.01,360,72,0.41830940174778564,0.4183094017477983,1,1,0,4.8
0.5936016569658213,0.5936016569658744,regular,1.4654943925052066e-14,0.2,1.3533085065177846e-13,0.01,360,72,0.26907324096787744,0.2690732409678921,1,2,0,4.8
0.25765715013377544,0.25765715013381296,regular,2.453592884421596e-14,0.3,2.00724863487433e-13,0.01,360,108,0.3954315377332081,0.39543153773318357,1,0,0,4.2
0.22451100163827006,0.22451100163829402,regular,3.214095656289828e-14,0.3,1.9493652273721228e-13,0.01,360,108,0.3142175121871746,0.31421751218714244,1,1,0,4.2
0.1981254298644844,0.1981254298645021,regular,7.216449660063518e-15,0.3,1.0568012384353593e-13,0.01,360,108,0.39266964701570195,0.39266964701570917,1,2,0,4.2
0.08377269764739012,0.08377269764739592,regular,7.327471962526033e-15,0.4,8.48674030964301e-14,0.01,360,144,0.41906298911954887,0.4190629891195562,1,0,0,3.6
0.13286461548618256,0.13286461548619793,regular,3.6665115388245795e-14,0.4,2.580847778291324e-13,0.01,360,144,0.20756381042796604,0.2075638104280027,1,1,0,3.6
0.07264855514044664,0.07264855514045956,regular,1.2212453270876722e-14,0.4,2.0284313578205128e-13,0.01,360,144,0.4385448257183025,0.4385448257182903,1,2,0,3.6
1.1547005383791242,1.1547005383792515,regular,1.1102230246251565e-16,0.0,1.1047538532751866e-13,0.0001,360,0,0.33333333333333337,0.33333333333333326,1,0,0,6.0
0.9576673683512317,0.957667368351242,regular,2.808864252301646e-13,0.05,7.312175806881631e-13,0.0001,360,18,0.33988388560791016,0.33988388560819105,1,0,0,5.7
0.979710904997263,0.9797109049987112,regular,1.6775469902086115e-13,0.05,1.899177902914651e-12,0.0001,360,18,0.34845553159718845,0.3484555315970207,1,1,0,5.7
0.9770357371561684,0.9770357371558986,regular,2.671751708760439e-13,0.05,9.687041331680802e-13,0.0001,360,18,0.3357685538908026,0.3357685538910698,1,2,0,5.7
0.7472609975555494,0.7472609975584393,regular,1.6814327707947996e-12,0.1,7.696586904696647e-12,0.0001,360,36,0.38910245204477256,0.38910245204309113,1,0,0,5.4
0.7566403338411993,0.7566403338398158,regular,3.3978375668652916e-13,0.1,2.7461541723309523e-12,0.0001,360,36,0.32029727705832045,0.32029727705866023,1,1,0,5.4
0.8215145207411773,0.8215145207421608,regular,3.415601135259294e-13,0.1,2.2044394511494033e-12,0.0001,360,36,0.28911722435194676,0.2891172243516052,1,2,0,5.4
0.6117380272395716,0.6117380272388508,regular,1.5856760349208798e-12,0.15,5.078890234980125e-12,0.0001,360,54,0.35651285290916646,0.35651285291075213,1,0,0,5.1
0.6658670163779635,0.6658670163760455,regular,1.4996892616636615e-12,0.15,7.286307718545006e-12,0.0001,360,54,0.2903881737548806,0.29038817375638026,1,1,0,5.1
0.6083543300079686,0.6083543300057637,regular,1.3042344981784026e-12,0.15,6.613115074017679e-12,0.0001,360,54,0.3863824002293553,0.38638240023065956,1,2,0,5.1
0.5326033984169312,0.5326033984162902,regular,2.5871527142840023e-12,0.2,8.203126514061198e-12,0.0001,360,72,0.31960737022947994,0.3196073702320671,1,0,0,4.8
0.4919597499683527,0.49195974996888503,regular,6.345479697245082e-13,0.2,3.062853249602892e-12,0.0001,360,72,0.27035765395747063,0.2703576539581052,1,1,0,4.8
0.5156517871484148,0.5156517871476716,regular,1.192768106506037e-12,0.2,4.239160745346946e-12,0.0001,360,72,0.3763067491284382,0.37630674912724543,1,2,0,4.8
0.16617952387410634,0.16617952387461726,regular,6.150080444911055e-13,0.3,4.4483926926202946e-12,0.0001,360,108,0.3976502239113422,0.3976502239119572,1,0,0,4.2
0.12072281084074907,0.12072281084008507,regular,7.099931753629107e-12,0.3,2.742282824288925e-11,0.0001,360,108,0.27386280106343397,0.27386280105633404,1,1,0,4.2
0.16219137633840475,0.1621913763380889,regular,1.127764548414234e-12,0.3,4.518398673624808e-12,0.0001,360,108,0.38865576249543776,0.3886557624965655,1,2,0,4.2
0.0014326016702778824,0.0014326016702810216,regular,1.213473765915296e-12,0.4,4.382152010468073e-12,0.0001,360,144,0.5038713474635906,0.5038713474623772,1,0,0,3.6
0.0014399043626253688,0.0014399043626232382,regular,6.502576255229542e-13,0.4,2.5615962590176877e-12,0.0001,360,144,0.5510534740218885,0.5510534740225388,1,1,0,3.6
0.001056944169873631,0.001056944169873046,regular,3.1297187064183163e-13,0.4,1.2614225179159432e-12,0.0001,360,144,0.3921090294682309,0.39210902946854387,1,2,0,3.6
1.1547005383791242,1.1547005383792515,regular,1.1102230246251565e-16,0.0,1.1047538532751866e-13,1e-06,360,0,0.33333333333333337,0.33333333333333326,1,0,0,6.0
0.9996046694249763,0.9996046695110834,regular,4.005751286229042e-11,0.05,1.9182162563881754e-10,1e-06,360,18,0.32904373869977366,0.32904373865971615,1,0,0,5.7
1.016554439892249,1.0165544398280668,regular,1.653294168235675e-11,0.05,1.082707838672666e-10,1e-06,360,18,0.31630981374389083,0.3163098137604238,1,1,0,5.7
0.9702321056592329,0.9702321056206042,regular,1.0217937607137628e-12,0.05,4.240008036640088e-11,1e-06,360,18,0.34508690174190054,0.34508690174292234,1,2,0,5.7
0.7994132898514976,0.7994132897566444,regular,3.604494480669018e-11,0.1,2.069775660899729e-10,1e-06,360,36,0.35809909165765075,0.3580990916936957,1,0,0,5.4
0.8292508450016355,0.829250844970278,regular,5.94765348083115e-11,0.1,1.9149697298557582e-10,1e-06,360,36,0.33700851496417267,0.3370085150236492,1,1,0,5.4
0.8618154588360418,0.8618154585564334,regular,8.686373842436979e-11,0.1,5.661175305008987e-10,1e-06,360,36,0.3094217964564251,0.30942179654328883,1,2,0,5.4
0.6424678563252,0.64246785643441,regular,1.0881195944278943e-10,0.15,4.666070605553041e-10,1e-06,360,54,0.31683718851567594,0.316837188406864,1,0,0,5.1
0.5834186487170856,0.5834186490062889,regular,1.6425777404904807e-10,0.15,8.772792750423089e-10,1e-06,360,54,0.3804735077874755,0.38047350762321774,1,1,0,5.1
0.6671652965443717,0.6671652967580757,regular,3.325162367673329e-11,0.15,4.016805338288354e-10,1e-06,360,54,0.35867635454660407,0.35867635451335245,1,2,0,5.1
0.5434641753579963,0.543464175022077,regular,3.754734856364905e-10,0.2,1.6082321732349444e-09,1e-06,360,72,0.3292183979387414,0.3292183983142149,1,0,0,4.8
0.5193052937835976,0.5193052937345817,regular,5.913003420232599e-11,0.2,2.442846433491104e-10,1e-06,360,72,0.3444705893309713,0.34447058939010133,1,1,0,4.8
0.449945423188135,0.4499454232244212,regular,9.960920976936904e-11,0.2,2.8075833962277376e-10,1e-06,360,72,0.4477658886659263,0.4477658887655355,1,2,0,4.8
0.1657062578808448,0.16570625800451164,regular,1.4410744264559128e-09,0.3,5.1852102781012575e-09,1e-06,360,108,0.2746460998646122,0.27464609842353777,1,0,0,4.2
0.1239075906932031,0.12390759069643104,regular,2.8602831214641355e-10,0.3,6.283582507856036e-10,1e-06,360,108,0.42488780833521667,0.42488780804918835,1,1,0,4.2
0.10580311018213462,0.10580311025794988,regular,8.506697568577692e-10,0.3,4.054161726937055e-09,1e-06,360,108,-0.20487526306591877,-0.20487526221524902,1,2,0,4.2
1.0469492286608275e-05,1.0469492294390373e-05,regular,4.275835241429604e-11,0.4,9.196125054188328e-10,1e-06,360,144,0.19253095258110398,0.19253095253834562,1,0,0,3.6
1.7490534005719516e-05,1.7490534006523507e-05,regular,9.127115729867796e-11,0.4,2.3421717635451045e-10,1e-06,360,144,0.43484009492243875,0.4348400950137099,1,1,0,3.6
8.70871586122242e-05,8.708715864514908e-05,regular,7.679932245707732e-10,0.4,1.074989644478521e-09,1e-06,360,144,1.0519794343770439,1.0519794336090507,1,2,0,3.6
1.1547005383791242,1.1547005383792515,regular,1.1102230246251565e-16,0.0,1.1047538532751866e-13,1e-08,360,0,0.33333333333333337,0.33333333333333326,1,0,0,6.0
