# commit=a031675 dirty=True saved_utc=2026-08-21T19:39:23+00:00
n_tri,rcond_min,rcond_p05,frac_rcond_lt_1e3,frac_rcond_lt_1e4,quality_min,quality_p05,area_min_over_mean,k_min_over_mean,frac_k_lt_1e3,run_id,topo,nu_target,nu_achieved,gap,dnu_bulk,dnu_worst
112,5.579176681387284e-10,1.1297336388329682e-06,0.16071428571428573,0.09821428571428571,0.007282837769887256,0.036555565112091265,0.0031763062466106835,1.0,0.0,1,triangular,-0.95,-0.21678727970612302,0.4300304887093009,0.08719072122595553,0.10845215144637427
112,1.7647460377685332e-11,4.895229486786293e-06,0.16071428571428573,0.11607142857142858,0.003222885926211286,0.06882381375445283,0.0014693110460059148,1.0,0.0,2,triangular,-0.75,-0.2048203850014895,0.5389059433018395,0.09222774333073178,0.11401886779113754
112,5.579176681387284e-10,1.1297336388329682e-06,0.16071428571428573,0.09821428571428571,0.007282837769887256,0.036555565112091265,0.0031763062466106835,1.0,0.0,3,triangular,-0.5,-0.21678727970612302,0.4300304887093009,0.08719072123125124,0.10845215144478304
112,2.282637420832213e-08,1.7840860826662507e-05,0.16071428571428573,0.11607142857142858,0.015081231316090803,0.07933351008828443,0.014511321977695885,1.0,0.0,4,triangular,-0.3,-0.20454184512073204,0.5302756055145006,0.09762763160464422,0.108379289687899
112,1.1805166270741959e-08,9.318230333378325e-05,0.11607142857142858,0.05357142857142857,0.01748077527461034,0.16009214404103433,0.01862387538822131,1.0,0.0,5,triangular,-0.1,-0.06374451466514289,0.5352948585022375,0.03661435407386704,0.050762948342010075
112,0.00021283859631314876,0.005240124904388124,0.017857142857142856,0.0,0.20030860618152238,0.42047420404954,0.19168281586251437,1.0,0.0,6,triangular,0.1,0.10173495738314708,1.1524870708776692e-11,8.320427680175158e-13,1.1925599396889197e-12
112,0.004926041463050588,0.015374057970270335,0.0,0.0,0.4366394983231851,0.539731889453349,0.3265816287296488,1.0,0.0,7,triangular,0.2,0.20251928859840077,2.5169892366772608e-12,1.910416269623738e-13,3.275435478400368e-13
112,0.04362925603918555,0.07820825165382163,0.0,0.0,0.66706257259789,0.7267074117186091,0.26234597862134473,1.0,0.0,8,triangular,0.3,0.30031006989127773,5.833457314354837e-13,1.8207657603852567e-14,5.612177389480166e-14
112,0.05343818237483647,0.09713407621369939,0.0,0.0,0.6874910608205917,0.7773014545781214,0.3109924925229099,1.0,0.0,9,triangular,0.4,0.33363664319790387,7.850653005223138e-13,4.4353409833775004e-14,1.2184697695261093e-13
112,0.05343818237483647,0.09713407621369939,0.0,0.0,0.6874910608205917,0.7773014545781214,0.3109924925229099,1.0,0.0,10,triangular,0.6,0.33363664319790387,7.850653005223138e-13,4.4353409833775004e-14,1.2184697695261093e-13
112,0.05343818237483647,0.09713407621369939,0.0,0.0,0.6874910608205917,0.7773014545781214,0.3109924925229099,1.0,0.0,11,triangular,0.9,0.33363664319790387,7.850653005223138e-13,4.4353409833775004e-14,1.2184697695261093e-13
128,1.6037042523001557e-09,1.9365791032897165e-06,0.296875,0.171875,0.009028889390202287,0.05388831970110883,0.007075037099627106,1.0,0.0,12,honeycomb,-0.95,-0.43643702742239104,0.3263698822871047,0.05148852150076699,0.09302610910597958
128,1.6037042523001557e-09,1.9365791032897165e-06,0.296875,0.171875,0.009028889390202287,0.05388831970110883,0.007075037099627106,1.0,0.0,13,honeycomb,-0.75,-0.43643702742239104,0.3263698822871047,0.05148852150076699,0.09302610910597958
128,9.530183403364063e-09,1.1321781768233346e-06,0.3125,0.15625,0.015561463070724636,0.042365435217070035,0.010756944987309766,1.0,0.0,14,honeycomb,-0.5,-0.43069497136101753,0.2234548461267924,0.03351394958318443,0.06053235441808735
