run_id,topo,topo_class,coord_sig,n_nodes,n_bond,nu_target,nu_initial,nu_achieved_sim,E_achieved_sim,err,nu_aniso_std,solver_sim_gap,trustworthy,status,error,design_loss,design_path
16,honeycomb,basis,3:0.05|4:0.14|5:0.30|6:0.19|7:0.08|8:0.11|9:0.05|10:0.06|12:0.03,64,197,-0.1,0.24529041743490412,0.16407220523463814,1.0315142104075772,0.26407220523463815,0.02572814714199216,1.7448855482459669,0,ok,,0.010763309307385543,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_honeycomb_m010.npz
17,honeycomb,basis,3:0.05|4:0.14|5:0.30|6:0.19|7:0.08|8:0.11|9:0.05|10:0.06|12:0.03,64,197,0.1,0.24529041743490412,0.16600331836933366,1.0268876754442042,0.06600331836933365,0.026879909602414247,0.7302637060097346,0,ok,,0.00012641313926838586,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_honeycomb_p010.npz
18,honeycomb,basis,3:0.05|4:0.14|5:0.30|6:0.19|7:0.08|8:0.11|9:0.05|10:0.06|12:0.03,64,197,0.2,0.24529041743490412,0.24910848093993293,1.1103282620973134,0.04910848093993292,0.030615760036708076,0.618011929144402,0,ok,,4.556590013864166e-05,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_honeycomb_p020.npz
19,honeycomb,basis,3:0.05|4:0.14|5:0.30|6:0.19|7:0.08|8:0.11|9:0.05|10:0.06|12:0.03,64,197,0.3,0.24529041743490412,0.28421957777751616,1.1555700511091238,0.015780422222483825,0.038968022338957554,0.3990291181660136,0,ok,,0.003287920395797223,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_honeycomb_p030.npz
20,honeycomb,basis,3:0.05|4:0.14|5:0.30|6:0.19|7:0.08|8:0.11|9:0.05|10:0.06|12:0.03,64,197,0.4,0.24529041743490412,0.28900429252593085,1.1583588228435489,0.11099570747406917,0.04025181568081913,0.39387726113757937,0,ok,,0.021987546675231874,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_honeycomb_p040.npz
21,honeycomb,basis,3:0.05|4:0.14|5:0.30|6:0.19|7:0.08|8:0.11|9:0.05|10:0.06|12:0.03,64,197,0.6,0.24529041743490412,0.2916668088826162,1.1634061414364012,0.3083331911173838,0.040233630210128664,0.40212849585847915,0,ok,,0.11981637109674081,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_honeycomb_p060.npz
22,honeycomb,basis,3:0.05|4:0.14|5:0.30|6:0.19|7:0.08|8:0.11|9:0.05|10:0.06|12:0.03,64,197,0.9,0.24529041743490412,0.2890497245612385,1.1371775338370838,0.6109502754387615,0.0419414375055392,0.4484862817419524,0,ok,,0.43319000807864316,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_honeycomb_p090.npz
23,kagome,basis,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,54,162,-0.95,0.2380925614720717,-0.24453995088267783,0.5955623569364381,0.7054600491173222,0.06659499376523755,0.5534424537938005,0,ok,,0.3935962413275112,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_kagome_m095.npz
24,kagome,basis,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,54,162,-0.75,0.2380925614720717,-0.06543711026175213,0.7558225143207091,0.6845628897382479,0.0148585394457401,0.5888283990636014,0,ok,,0.40237258627255607,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_kagome_m075.npz
25,kagome,basis,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,54,162,-0.5,0.2380925614720717,-0.06543711026175213,0.7558225143207091,0.43456288973824786,0.0148585394457401,0.5888283990636014,0,ok,,0.14784044538900282,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_kagome_m050.npz
26,kagome,basis,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,54,162,-0.3,0.2380925614720717,-0.06543711026175213,0.7558225143207091,0.23456288973824785,0.0148585394457401,0.5888283990636014,0,ok,,0.034214732682160305,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_kagome_m030.npz
27,kagome,basis,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,54,162,-0.1,0.2380925614720717,-0.08664330943188643,0.7757932295751155,0.013356690568113574,0.019781785676889117,0.18767761585673398,0,ok,,0.00037484052775909726,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\UNTRUSTED_g12_kagome_m010.npz
28,kagome,basis,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,54,162,0.1,0.2380925614720717,0.09975872382339418,0.9417475762475965,0.0002412761766058258,0.012247994570016522,1.9855917342607597e-11,1,ok,,0.00015007158518287524,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\design_g12_kagome_p010.npz
29,kagome,basis,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,54,162,0.2,0.2380925614720717,0.20103239127451955,1.0272572913542868,0.0010323912745195396,0.018994812932625466,5.003279858787347e-11,1,ok,,0.0003618687500530986,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\design_g12_kagome_p020.npz
30,kagome,basis,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,54,162,0.3,0.2380925614720717,0.2959178512458978,1.0739402180615767,0.004082148754102177,0.026352425496117583,0.027559860282443234,1,ok,,0.0006460757501034067,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2_freed\design_g12_kagome_p030.npz
