i,after,rep,vs,ratio_to_baseline,secs
1,<none: fresh process>,0,2.204663e-13,0.138,0.19
2,<none: fresh process>,1,2.204663e-13,0.138,0.22
3,<none: fresh process>,2,2.204663e-13,0.138,0.21
4,<none: fresh process>,3,2.204663e-13,0.138,0.19
5,<none: fresh process>,4,2.204663e-13,0.138,0.17
6,<none: fresh process>,5,2.204663e-13,0.138,0.21
7,<none: fresh process>,6,2.204663e-13,0.138,0.19
8,<none: fresh process>,7,2.204663e-13,0.138,0.22
9,<none: fresh process>,8,2.204663e-13,0.138,0.25
10,<none: fresh process>,9,2.204663e-13,0.138,0.26
11,<none: fresh process>,10,2.204663e-13,0.138,0.26
12,<none: fresh process>,11,2.204663e-13,0.138,0.29
13,<none: fresh process>,12,2.204663e-13,0.138,0.24
14,<none: fresh process>,13,2.204663e-13,0.138,0.17
15,<none: fresh process>,14,2.204663e-13,0.138,0.22
16,<none: fresh process>,15,2.204663e-13,0.138,0.21
17,<none: fresh process>,16,2.204663e-13,0.138,0.16
18,<none: fresh process>,17,2.204663e-13,0.138,0.18
19,<none: fresh process>,18,2.204663e-13,0.138,0.18
20,<none: fresh process>,19,2.204663e-13,0.138,0.24
21,<none: fresh process>,20,2.204663e-13,0.138,0.27
22,<none: fresh process>,21,2.204663e-13,0.138,0.25
23,<none: fresh process>,22,2.204663e-13,0.138,0.25
24,<none: fresh process>,23,2.204663e-13,0.138,0.26
25,<none: fresh process>,24,2.204663e-13,0.138,0.26
26,<none: fresh process>,25,2.204663e-13,0.138,0.26
27,<none: fresh process>,26,2.204663e-13,0.138,0.27
28,<none: fresh process>,27,2.204663e-13,0.138,0.25
29,<none: fresh process>,28,2.204663e-13,0.138,0.33
30,<none: fresh process>,29,2.204663e-13,0.138,0.26
31,<none: fresh process>,30,2.204663e-13,0.138,0.27
32,<none: fresh process>,31,2.204663e-13,0.138,0.27
33,<none: fresh process>,32,2.204663e-13,0.138,0.29
34,<none: fresh process>,33,2.204663e-13,0.138,0.36
35,<none: fresh process>,34,2.204663e-13,0.138,0.26
36,<none: fresh process>,35,2.204663e-13,0.138,0.21
37,<none: fresh process>,36,2.204663e-13,0.138,0.28
38,<none: fresh process>,37,2.204663e-13,0.138,0.26
39,<none: fresh process>,38,2.204663e-13,0.138,0.25
40,<none: fresh process>,39,2.204663e-13,0.138,0.26
41,<none: fresh process>,40,2.204663e-13,0.138,0.26
42,<none: fresh process>,41,2.204663e-13,0.138,0.26
43,<none: fresh process>,42,2.204663e-13,0.138,0.25
44,<none: fresh process>,43,2.204663e-13,0.138,0.25
45,<none: fresh process>,44,2.204663e-13,0.138,0.25
46,<none: fresh process>,45,2.204663e-13,0.138,0.24
47,<none: fresh process>,46,2.204663e-13,0.138,0.23
48,<none: fresh process>,47,2.204663e-13,0.138,0.21
49,<none: fresh process>,48,2.204663e-13,0.138,0.23
50,<none: fresh process>,49,2.204663e-13,0.138,0.24
51,test_round_trip,0,2.204663e-13,0.138,0.32
52,test_round_trip,1,2.204663e-13,0.138,0.25
53,test_round_trip,2,2.204663e-13,0.138,0.26
54,test_round_trip,3,2.204663e-13,0.138,0.25
55,test_round_trip,4,2.204663e-13,0.138,0.24
56,test_round_trip,5,2.204663e-13,0.138,0.24
57,test_round_trip,6,2.204663e-13,0.138,0.28
58,test_round_trip,7,2.204663e-13,0.138,0.24
59,test_round_trip,8,2.204663e-13,0.138,0.28
60,test_round_trip,9,2.204663e-13,0.138,0.33
61,test_round_trip,10,2.204663e-13,0.138,0.33
62,test_round_trip,11,2.204663e-13,0.138,0.29
63,test_round_trip,12,2.204663e-13,0.138,0.27
64,test_round_trip,13,2.204663e-13,0.138,0.24
65,test_round_trip,14,2.204663e-13,0.138,0.26
66,test_round_trip,15,2.204663e-13,0.138,0.30
67,test_round_trip,16,2.204663e-13,0.138,0.26
68,test_round_trip,17,2.204663e-13,0.138,0.25
69,test_round_trip,18,2.204663e-13,0.138,0.27
70,test_round_trip,19,2.204663e-13,0.138,0.28
71,test_round_trip,20,2.204663e-13,0.138,0.28
72,test_round_trip,21,2.204663e-13,0.138,0.24
73,test_round_trip,22,2.204663e-13,0.138,0.31
74,test_round_trip,23,2.204663e-13,0.138,0.32
75,test_round_trip,24,2.204663e-13,0.138,0.32
76,test_round_trip,25,2.204663e-13,0.138,0.27
77,test_round_trip,26,2.204663e-13,0.138,0.24
78,test_round_trip,27,2.204663e-13,0.138,0.24
79,test_round_trip,28,2.204663e-13,0.138,0.27
80,test_round_trip,29,2.204663e-13,0.138,0.25
81,test_round_trip,30,2.204663e-13,0.138,0.23
82,test_round_trip,31,2.204663e-13,0.138,0.27
83,test_round_trip,32,2.204663e-13,0.138,0.25
84,test_round_trip,33,2.204663e-13,0.138,0.26
85,test_round_trip,34,2.204663e-13,0.138,0.27
86,test_round_trip,35,2.204663e-13,0.138,0.25
87,test_round_trip,36,2.204663e-13,0.138,0.25
88,test_round_trip,37,2.204663e-13,0.138,0.28
89,test_round_trip,38,2.204663e-13,0.138,0.24
90,test_round_trip,39,2.204663e-13,0.138,0.26
91,test_round_trip,40,2.204663e-13,0.138,0.28
92,test_round_trip,41,2.204663e-13,0.138,0.26
93,test_round_trip,42,2.204663e-13,0.138,0.27
94,test_round_trip,43,2.204663e-13,0.138,0.23
95,test_round_trip,44,2.204663e-13,0.138,0.23
96,test_round_trip,45,2.204663e-13,0.138,0.28
97,test_round_trip,46,2.204663e-13,0.138,0.24
98,test_round_trip,47,2.204663e-13,0.138,0.23
99,test_round_trip,48,2.204663e-13,0.138,0.25
100,test_round_trip,49,2.204663e-13,0.138,0.24
101,test_property_auxetic,0,2.204663e-13,0.138,0.30
102,test_property_auxetic,1,2.204663e-13,0.138,0.28
103,test_property_auxetic,2,2.204663e-13,0.138,0.28
104,test_property_auxetic,3,2.204663e-13,0.138,0.26
105,test_property_auxetic,4,2.204663e-13,0.138,0.25
106,test_property_auxetic,5,2.204663e-13,0.138,0.22
107,test_property_auxetic,6,2.204663e-13,0.138,0.23
108,test_property_auxetic,7,2.204663e-13,0.138,0.25
109,test_property_auxetic,8,2.204663e-13,0.138,0.25
110,test_property_auxetic,9,2.204663e-13,0.138,0.25
111,test_property_auxetic,10,2.204663e-13,0.138,0.23
112,test_property_auxetic,11,2.204663e-13,0.138,0.24
113,test_property_auxetic,12,2.204663e-13,0.138,0.27
114,test_property_auxetic,13,2.204663e-13,0.138,0.27
115,test_property_auxetic,14,2.204663e-13,0.138,0.27
116,test_property_auxetic,15,2.204663e-13,0.138,0.32
117,test_property_auxetic,16,2.204663e-13,0.138,0.28
118,test_property_auxetic,17,2.204663e-13,0.138,0.25
119,test_property_auxetic,18,2.204663e-13,0.138,0.32
120,test_property_auxetic,19,2.204663e-13,0.138,0.27
121,test_property_auxetic,20,2.204663e-13,0.138,0.26
122,test_property_auxetic,21,2.204663e-13,0.138,0.23
123,test_property_auxetic,22,2.204663e-13,0.138,0.26
124,test_property_auxetic,23,2.204663e-13,0.138,0.28
125,test_property_auxetic,24,2.204663e-13,0.138,0.26
126,test_property_auxetic,25,2.204663e-13,0.138,0.28
127,test_property_auxetic,26,2.204663e-13,0.138,0.27
128,test_property_auxetic,27,2.204663e-13,0.138,0.31
129,test_property_auxetic,28,2.204663e-13,0.138,0.29
130,test_property_auxetic,29,2.204663e-13,0.138,0.30
131,test_property_auxetic,30,2.204663e-13,0.138,0.30
132,test_property_auxetic,31,2.204663e-13,0.138,0.27
133,test_property_auxetic,32,2.204663e-13,0.138,0.27
134,test_property_auxetic,33,2.204663e-13,0.138,0.24
135,test_property_auxetic,34,2.204663e-13,0.138,0.26
136,test_property_auxetic,35,2.204663e-13,0.138,0.23
137,test_property_auxetic,36,2.204663e-13,0.138,0.25
138,test_property_auxetic,37,2.204663e-13,0.138,0.23
139,test_property_auxetic,38,2.204663e-13,0.138,0.24
140,test_property_auxetic,39,2.204663e-13,0.138,0.23
141,test_property_auxetic,40,2.204663e-13,0.138,0.25
142,test_property_auxetic,41,2.204663e-13,0.138,0.28
143,test_property_auxetic,42,2.204663e-13,0.138,0.22
144,test_property_auxetic,43,2.204663e-13,0.138,0.24
145,test_property_auxetic,44,2.204663e-13,0.138,0.26
146,test_property_auxetic,45,2.204663e-13,0.138,0.26
147,test_property_auxetic,46,2.204663e-13,0.138,0.26
148,test_property_auxetic,47,2.204663e-13,0.138,0.26
149,test_property_auxetic,48,2.204663e-13,0.138,0.26
150,test_property_auxetic,49,2.204663e-13,0.138,0.26
151,test_property_E,0,2.204663e-13,0.138,0.31
152,test_property_E,1,2.204663e-13,0.138,0.25
153,test_property_E,2,2.204663e-13,0.138,0.24
154,test_property_E,3,2.204663e-13,0.138,0.23
155,test_property_E,4,2.204663e-13,0.138,0.27
156,test_property_E,5,2.204663e-13,0.138,0.23
157,test_property_E,6,2.204663e-13,0.138,0.25
158,test_property_E,7,2.204663e-13,0.138,0.28
159,test_property_E,8,2.204663e-13,0.138,0.28
160,test_property_E,9,2.204663e-13,0.138,0.32
161,test_property_E,10,2.204663e-13,0.138,0.28
162,test_property_E,11,2.204663e-13,0.138,0.27
163,test_property_E,12,2.204663e-13,0.138,0.24
164,test_property_E,13,2.204663e-13,0.138,0.27
165,test_property_E,14,2.204663e-13,0.138,0.24
166,test_property_E,15,2.204663e-13,0.138,0.26
167,test_property_E,16,2.204663e-13,0.138,0.47
168,test_property_E,17,2.204663e-13,0.138,0.37
169,test_property_E,18,2.204663e-13,0.138,0.33
170,test_property_E,19,2.204663e-13,0.138,0.35
171,test_property_E,20,2.204663e-13,0.138,0.33
172,test_property_E,21,2.204663e-13,0.138,0.31
173,test_property_E,22,2.204663e-13,0.138,0.32
174,test_property_E,23,2.204663e-13,0.138,0.31
175,test_property_E,24,2.204663e-13,0.138,0.30
