i,after,rep,vs,ratio_to_baseline,secs
1,<none: fresh process>,0,2.204663e-13,0.138,0.22
2,<none: fresh process>,1,2.204663e-13,0.138,0.23
3,<none: fresh process>,2,2.204663e-13,0.138,0.29
4,<none: fresh process>,3,2.204663e-13,0.138,0.29
5,<none: fresh process>,4,2.204663e-13,0.138,0.28
6,<none: fresh process>,5,2.204663e-13,0.138,0.28
7,<none: fresh process>,6,2.204663e-13,0.138,0.28
8,<none: fresh process>,7,2.204663e-13,0.138,0.28
9,<none: fresh process>,8,2.204663e-13,0.138,0.27
10,<none: fresh process>,9,2.204663e-13,0.138,0.27
11,<none: fresh process>,10,2.204663e-13,0.138,0.29
12,<none: fresh process>,11,2.204663e-13,0.138,0.30
13,<none: fresh process>,12,2.204663e-13,0.138,0.28
14,<none: fresh process>,13,2.204663e-13,0.138,0.28
15,<none: fresh process>,14,2.204663e-13,0.138,0.28
16,<none: fresh process>,15,2.204663e-13,0.138,0.29
17,<none: fresh process>,16,2.204663e-13,0.138,0.29
18,<none: fresh process>,17,2.204663e-13,0.138,0.28
19,<none: fresh process>,18,2.204663e-13,0.138,0.31
20,<none: fresh process>,19,2.204663e-13,0.138,0.31
21,<none: fresh process>,20,2.204663e-13,0.138,0.42
22,<none: fresh process>,21,2.204663e-13,0.138,0.29
23,<none: fresh process>,22,2.204663e-13,0.138,0.28
24,<none: fresh process>,23,2.204663e-13,0.138,0.30
25,<none: fresh process>,24,2.204663e-13,0.138,0.29
26,<none: fresh process>,25,2.204663e-13,0.138,0.31
27,<none: fresh process>,26,2.204663e-13,0.138,0.31
28,<none: fresh process>,27,2.204663e-13,0.138,0.30
29,<none: fresh process>,28,2.204663e-13,0.138,0.27
30,<none: fresh process>,29,2.204663e-13,0.138,0.30
31,<none: fresh process>,30,2.204663e-13,0.138,0.27
32,<none: fresh process>,31,2.204663e-13,0.138,0.28
33,<none: fresh process>,32,2.204663e-13,0.138,0.28
34,<none: fresh process>,33,2.204663e-13,0.138,0.29
35,<none: fresh process>,34,2.204663e-13,0.138,0.28
36,<none: fresh process>,35,2.204663e-13,0.138,0.27
37,<none: fresh process>,36,2.204663e-13,0.138,0.28
38,<none: fresh process>,37,2.204663e-13,0.138,0.26
39,<none: fresh process>,38,2.204663e-13,0.138,0.27
40,<none: fresh process>,39,2.204663e-13,0.138,0.27
41,<none: fresh process>,40,2.204663e-13,0.138,0.27
42,<none: fresh process>,41,2.204663e-13,0.138,0.31
43,<none: fresh process>,42,2.204663e-13,0.138,0.29
44,<none: fresh process>,43,2.204663e-13,0.138,0.29
45,<none: fresh process>,44,2.204663e-13,0.138,0.31
46,<none: fresh process>,45,2.204663e-13,0.138,0.26
47,<none: fresh process>,46,2.204663e-13,0.138,0.31
48,<none: fresh process>,47,2.204663e-13,0.138,0.30
49,<none: fresh process>,48,2.204663e-13,0.138,0.30
50,<none: fresh process>,49,2.204663e-13,0.138,0.31
51,test_round_trip,0,2.204663e-13,0.138,0.31
52,test_round_trip,1,2.204663e-13,0.138,0.28
53,test_round_trip,2,2.204663e-13,0.138,0.28
54,test_round_trip,3,2.204663e-13,0.138,0.28
55,test_round_trip,4,2.204663e-13,0.138,0.29
56,test_round_trip,5,2.204663e-13,0.138,0.27
57,test_round_trip,6,2.204663e-13,0.138,0.27
58,test_round_trip,7,2.204663e-13,0.138,0.28
59,test_round_trip,8,2.204663e-13,0.138,0.28
60,test_round_trip,9,2.204663e-13,0.138,0.30
61,test_round_trip,10,2.204663e-13,0.138,0.35
62,test_round_trip,11,2.204663e-13,0.138,0.29
63,test_round_trip,12,2.204663e-13,0.138,0.39
64,test_round_trip,13,2.204663e-13,0.138,0.34
65,test_round_trip,14,2.204663e-13,0.138,0.32
66,test_round_trip,15,2.204663e-13,0.138,0.28
67,test_round_trip,16,2.204663e-13,0.138,0.28
68,test_round_trip,17,2.204663e-13,0.138,0.27
69,test_round_trip,18,2.204663e-13,0.138,0.28
70,test_round_trip,19,2.204663e-13,0.138,0.29
71,test_round_trip,20,2.204663e-13,0.138,0.27
72,test_round_trip,21,2.204663e-13,0.138,0.29
73,test_round_trip,22,2.204663e-13,0.138,0.27
74,test_round_trip,23,2.204663e-13,0.138,0.28
75,test_round_trip,24,2.204663e-13,0.138,0.30
76,test_round_trip,25,2.204663e-13,0.138,0.30
77,test_round_trip,26,2.204663e-13,0.138,0.40
78,test_round_trip,27,2.204663e-13,0.138,0.41
79,test_round_trip,28,2.204663e-13,0.138,0.31
80,test_round_trip,29,2.204663e-13,0.138,0.28
81,test_round_trip,30,2.204663e-13,0.138,0.26
82,test_round_trip,31,2.204663e-13,0.138,0.28
83,test_round_trip,32,2.204663e-13,0.138,0.28
84,test_round_trip,33,2.204663e-13,0.138,0.26
85,test_round_trip,34,2.204663e-13,0.138,0.28
86,test_round_trip,35,2.204663e-13,0.138,0.27
87,test_round_trip,36,2.204663e-13,0.138,0.27
88,test_round_trip,37,2.204663e-13,0.138,0.27
89,test_round_trip,38,2.204663e-13,0.138,0.27
90,test_round_trip,39,2.204663e-13,0.138,0.27
91,test_round_trip,40,2.204663e-13,0.138,0.39
92,test_round_trip,41,2.204663e-13,0.138,0.39
93,test_round_trip,42,2.204663e-13,0.138,0.35
94,test_round_trip,43,2.204663e-13,0.138,0.29
95,test_round_trip,44,2.204663e-13,0.138,0.26
96,test_round_trip,45,2.204663e-13,0.138,0.31
97,test_round_trip,46,2.204663e-13,0.138,0.28
98,test_round_trip,47,2.204663e-13,0.138,0.32
99,test_round_trip,48,2.204663e-13,0.138,0.29
100,test_round_trip,49,2.204663e-13,0.138,0.29
101,test_property_auxetic,0,2.204663e-13,0.138,0.33
102,test_property_auxetic,1,2.204663e-13,0.138,0.27
103,test_property_auxetic,2,2.204663e-13,0.138,0.29
104,test_property_auxetic,3,2.204663e-13,0.138,0.30
105,test_property_auxetic,4,2.204663e-13,0.138,0.31
106,test_property_auxetic,5,2.204663e-13,0.138,0.37
107,test_property_auxetic,6,2.204663e-13,0.138,0.38
108,test_property_auxetic,7,2.204663e-13,0.138,0.32
109,test_property_auxetic,8,2.204663e-13,0.138,0.33
110,test_property_auxetic,9,2.204663e-13,0.138,0.35
111,test_property_auxetic,10,2.204663e-13,0.138,0.45
112,test_property_auxetic,11,2.204663e-13,0.138,0.40
113,test_property_auxetic,12,2.204663e-13,0.138,0.31
114,test_property_auxetic,13,2.204663e-13,0.138,0.30
115,test_property_auxetic,14,2.204663e-13,0.138,0.28
116,test_property_auxetic,15,2.204663e-13,0.138,0.27
117,test_property_auxetic,16,2.204663e-13,0.138,0.29
118,test_property_auxetic,17,2.204663e-13,0.138,0.28
119,test_property_auxetic,18,2.204663e-13,0.138,0.28
120,test_property_auxetic,19,2.204663e-13,0.138,0.25
121,test_property_auxetic,20,2.204663e-13,0.138,0.28
122,test_property_auxetic,21,2.204663e-13,0.138,0.28
123,test_property_auxetic,22,2.204663e-13,0.138,0.26
124,test_property_auxetic,23,2.204663e-13,0.138,0.28
125,test_property_auxetic,24,2.204663e-13,0.138,0.27
