i,after,rep,vs,ratio_to_baseline,secs
126,test_property_auxetic,25,2.204663e-13,0.138,0.29
127,test_property_auxetic,26,2.204663e-13,0.138,0.31
128,test_property_auxetic,27,2.204663e-13,0.138,0.34
129,test_property_auxetic,28,2.204663e-13,0.138,0.32
130,test_property_auxetic,29,2.204663e-13,0.138,0.30
131,test_property_auxetic,30,2.204663e-13,0.138,0.29
132,test_property_auxetic,31,2.204663e-13,0.138,0.34
133,test_property_auxetic,32,2.206408e-13,0.138,0.35
134,test_property_auxetic,33,2.204663e-13,0.138,0.32
135,test_property_auxetic,34,2.204663e-13,0.138,0.29
136,test_property_auxetic,35,2.204663e-13,0.138,0.29
137,test_property_auxetic,36,2.204663e-13,0.138,0.27
138,test_property_auxetic,37,2.204663e-13,0.138,0.29
139,test_property_auxetic,38,2.204663e-13,0.138,0.29
140,test_property_auxetic,39,2.204663e-13,0.138,0.36
141,test_property_auxetic,40,2.204663e-13,0.138,0.35
142,test_property_auxetic,41,2.204663e-13,0.138,0.31
143,test_property_auxetic,42,2.204663e-13,0.138,0.30
144,test_property_auxetic,43,2.204663e-13,0.138,0.27
145,test_property_auxetic,44,2.204663e-13,0.138,0.26
146,test_property_auxetic,45,2.204663e-13,0.138,0.29
147,test_property_auxetic,46,2.204663e-13,0.138,0.30
148,test_property_auxetic,47,2.204663e-13,0.138,0.29
149,test_property_auxetic,48,2.204663e-13,0.138,0.33
150,test_property_auxetic,49,2.204663e-13,0.138,0.28
151,test_property_E,0,2.204663e-13,0.138,0.34
152,test_property_E,1,2.204663e-13,0.138,0.29
153,test_property_E,2,2.204663e-13,0.138,0.29
154,test_property_E,3,2.204663e-13,0.138,0.28
155,test_property_E,4,2.204663e-13,0.138,0.29
156,test_property_E,5,2.204663e-13,0.138,0.36
157,test_property_E,6,2.204663e-13,0.138,0.36
158,test_property_E,7,2.204663e-13,0.138,0.60
159,test_property_E,8,2.204663e-13,0.138,0.36
160,test_property_E,9,2.204663e-13,0.138,0.47
161,test_property_E,10,2.204663e-13,0.138,0.55
162,test_property_E,11,2.204663e-13,0.138,0.37
163,test_property_E,12,2.204663e-13,0.138,0.40
164,test_property_E,13,2.204663e-13,0.138,0.40
165,test_property_E,14,2.204663e-13,0.138,0.41
166,test_property_E,15,2.204663e-13,0.138,0.38
167,test_property_E,16,2.204663e-13,0.138,0.33
168,test_property_E,17,2.204663e-13,0.138,0.34
169,test_property_E,18,2.204663e-13,0.138,0.35
170,test_property_E,19,2.204663e-13,0.138,0.31
171,test_property_E,20,2.204663e-13,0.138,0.29
172,test_property_E,21,2.204663e-13,0.138,0.30
173,test_property_E,22,2.204663e-13,0.138,0.33
174,test_property_E,23,2.204663e-13,0.138,0.31
175,test_property_E,24,2.204663e-13,0.138,0.32
176,test_property_E,25,2.204663e-13,0.138,0.35
177,test_property_E,26,2.204663e-13,0.138,0.32
178,test_property_E,27,2.204663e-13,0.138,0.35
179,test_property_E,28,2.204663e-13,0.138,0.35
180,test_property_E,29,2.204663e-13,0.138,0.30
181,test_property_E,30,2.204663e-13,0.138,0.30
182,test_property_E,31,2.204663e-13,0.138,0.31
183,test_property_E,32,2.204663e-13,0.138,0.27
184,test_property_E,33,2.204663e-13,0.138,0.28
185,test_property_E,34,2.204663e-13,0.138,0.31
186,test_property_E,35,2.204663e-13,0.138,0.32
187,test_property_E,36,2.204663e-13,0.138,0.31
188,test_property_E,37,2.204663e-13,0.138,0.30
189,test_property_E,38,2.204663e-13,0.138,0.29
190,test_property_E,39,2.204663e-13,0.138,0.30
191,test_property_E,40,2.204663e-13,0.138,0.28
192,test_property_E,41,2.204663e-13,0.138,0.35
193,test_property_E,42,2.204663e-13,0.138,0.35
194,test_property_E,43,2.204663e-13,0.138,0.40
195,test_property_E,44,2.204663e-13,0.138,0.31
196,test_property_E,45,2.204663e-13,0.138,0.32
197,test_property_E,46,2.204663e-13,0.138,0.30
198,test_property_E,47,2.204663e-13,0.138,0.27
199,test_property_E,48,2.204663e-13,0.138,0.28
200,test_property_E,49,2.204663e-13,0.138,0.29
201,test_local_region,0,2.204663e-13,0.138,0.44
202,test_local_region,1,2.204663e-13,0.138,0.29
203,test_local_region,2,2.204663e-13,0.138,0.33
204,test_local_region,3,2.204663e-13,0.138,0.32
205,test_local_region,4,2.204663e-13,0.138,0.34
206,test_local_region,5,2.204663e-13,0.138,0.32
207,test_local_region,6,2.204663e-13,0.138,0.31
208,test_local_region,7,2.204663e-13,0.138,0.29
209,test_local_region,8,2.204663e-13,0.138,0.27
210,test_local_region,9,2.204663e-13,0.138,0.27
211,test_local_region,10,2.204663e-13,0.138,0.29
212,test_local_region,11,2.204663e-13,0.138,0.31
213,test_local_region,12,2.204663e-13,0.138,0.30
214,test_local_region,13,2.204663e-13,0.138,0.29
215,test_local_region,14,2.204663e-13,0.138,0.31
216,test_local_region,15,2.204663e-13,0.138,0.30
217,test_local_region,16,2.204663e-13,0.138,0.31
218,test_local_region,17,2.204663e-13,0.138,0.31
219,test_local_region,18,2.204663e-13,0.138,0.32
220,test_local_region,19,2.204663e-13,0.138,0.32
221,test_local_region,20,2.204663e-13,0.138,0.29
222,test_local_region,21,2.204663e-13,0.138,0.31
223,test_local_region,22,2.204663e-13,0.138,0.28
224,test_local_region,23,2.204663e-13,0.138,0.28
225,test_local_region,24,2.204663e-13,0.138,0.34
226,test_local_region,25,2.204663e-13,0.138,0.33
227,test_local_region,26,2.204663e-13,0.138,0.34
228,test_local_region,27,2.204663e-13,0.138,0.28
229,test_local_region,28,2.204663e-13,0.138,0.29
230,test_local_region,29,2.204663e-13,0.138,0.27
231,test_local_region,30,2.204663e-13,0.138,0.30
232,test_local_region,31,2.204663e-13,0.138,0.29
233,test_local_region,32,2.204663e-13,0.138,0.30
234,test_local_region,33,2.204663e-13,0.138,0.30
235,test_local_region,34,2.204663e-13,0.138,0.31
236,test_local_region,35,2.204663e-13,0.138,0.33
237,test_local_region,36,2.204663e-13,0.138,0.32
238,test_local_region,37,2.204663e-13,0.138,0.33
239,test_local_region,38,2.204663e-13,0.138,0.32
240,test_local_region,39,2.204663e-13,0.138,0.31
241,test_local_region,40,2.204663e-13,0.138,0.35
242,test_local_region,41,2.204663e-13,0.138,0.29
243,test_local_region,42,2.204663e-13,0.138,0.27
244,test_local_region,43,2.204663e-13,0.138,0.28
245,test_local_region,44,2.204663e-13,0.138,0.33
246,test_local_region,45,2.204663e-13,0.138,0.31
247,test_local_region,46,2.204663e-13,0.138,0.32
248,test_local_region,47,2.204663e-13,0.138,0.29
249,test_local_region,48,2.204663e-13,0.138,0.28
250,test_local_region,49,2.204663e-13,0.138,0.30
251,test_mixed_global_local,0,2.204663e-13,0.138,0.34
252,test_mixed_global_local,1,2.204663e-13,0.138,0.29
253,test_mixed_global_local,2,2.204663e-13,0.138,0.27
254,test_mixed_global_local,3,2.204663e-13,0.138,0.30
255,test_mixed_global_local,4,2.204663e-13,0.138,0.32
256,test_mixed_global_local,5,2.204663e-13,0.138,0.28
257,test_mixed_global_local,6,2.204663e-13,0.138,0.41
258,test_mixed_global_local,7,2.204663e-13,0.138,0.30
259,test_mixed_global_local,8,2.204663e-13,0.138,0.29
260,test_mixed_global_local,9,2.204663e-13,0.138,0.31
261,test_mixed_global_local,10,2.204663e-13,0.138,0.29
262,test_mixed_global_local,11,2.204663e-13,0.138,0.32
263,test_mixed_global_local,12,2.204663e-13,0.138,0.33
264,test_mixed_global_local,13,2.204663e-13,0.138,0.29
265,test_mixed_global_local,14,2.204663e-13,0.138,0.30
266,test_mixed_global_local,15,2.204663e-13,0.138,0.29
267,test_mixed_global_local,16,2.204663e-13,0.138,0.28
268,test_mixed_global_local,17,2.204663e-13,0.138,0.28
269,test_mixed_global_local,18,2.204663e-13,0.138,0.28
270,test_mixed_global_local,19,2.204663e-13,0.138,0.30
271,test_mixed_global_local,20,2.204663e-13,0.138,0.27
272,test_mixed_global_local,21,2.204663e-13,0.138,0.34
273,test_mixed_global_local,22,2.204663e-13,0.138,0.32
274,test_mixed_global_local,23,2.204663e-13,0.138,0.30
275,test_mixed_global_local,24,2.204663e-13,0.138,0.30
276,test_mixed_global_local,25,2.204663e-13,0.138,0.30
277,test_mixed_global_local,26,2.204663e-13,0.138,0.31
278,test_mixed_global_local,27,2.204663e-13,0.138,0.34
279,test_mixed_global_local,28,2.204663e-13,0.138,0.31
280,test_mixed_global_local,29,2.204663e-13,0.138,0.32
281,test_mixed_global_local,30,2.204663e-13,0.138,0.29
282,test_mixed_global_local,31,2.204663e-13,0.138,0.28
283,test_mixed_global_local,32,2.204663e-13,0.138,0.28
284,test_mixed_global_local,33,2.204663e-13,0.138,0.27
285,test_mixed_global_local,34,2.204663e-13,0.138,0.29
286,test_mixed_global_local,35,2.204663e-13,0.138,0.34
287,test_mixed_global_local,36,2.204663e-13,0.138,0.35
288,test_mixed_global_local,37,2.204663e-13,0.138,0.29
289,test_mixed_global_local,38,2.204663e-13,0.138,0.28
290,test_mixed_global_local,39,2.204663e-13,0.138,0.30
291,test_mixed_global_local,40,2.204663e-13,0.138,0.28
292,test_mixed_global_local,41,2.204663e-13,0.138,0.30
293,test_mixed_global_local,42,2.204663e-13,0.138,0.28
294,test_mixed_global_local,43,2.204663e-13,0.138,0.28
295,test_mixed_global_local,44,2.204663e-13,0.138,0.34
296,test_mixed_global_local,45,2.204663e-13,0.138,0.34
297,test_mixed_global_local,46,2.204663e-13,0.138,0.29
298,test_mixed_global_local,47,2.204663e-13,0.138,0.30
299,test_mixed_global_local,48,2.204663e-13,0.138,0.29
300,test_mixed_global_local,49,2.204663e-13,0.138,0.27
301,test_large_N_adjoint,0,2.204663e-13,0.138,0.28
302,test_large_N_adjoint,1,2.204663e-13,0.138,0.28
303,test_large_N_adjoint,2,2.204663e-13,0.138,0.29
304,test_large_N_adjoint,3,2.204663e-13,0.138,0.28
305,test_large_N_adjoint,4,2.204663e-13,0.138,0.29
306,test_large_N_adjoint,5,2.204663e-13,0.138,0.27
307,test_large_N_adjoint,6,2.204663e-13,0.138,0.34
308,test_large_N_adjoint,7,2.204663e-13,0.138,0.32
309,test_large_N_adjoint,8,2.204663e-13,0.138,0.29
310,test_large_N_adjoint,9,2.204663e-13,0.138,0.33
311,test_large_N_adjoint,10,2.204663e-13,0.138,0.28
312,test_large_N_adjoint,11,2.204663e-13,0.138,0.28
313,test_large_N_adjoint,12,2.204663e-13,0.138,0.32
314,test_large_N_adjoint,13,2.204663e-13,0.138,0.29
315,test_large_N_adjoint,14,2.204663e-13,0.138,0.31
316,test_large_N_adjoint,15,2.204663e-13,0.138,0.30
317,test_large_N_adjoint,16,2.204663e-13,0.138,0.33
318,test_large_N_adjoint,17,2.204663e-13,0.138,0.29
319,test_large_N_adjoint,18,2.204663e-13,0.138,0.32
320,test_large_N_adjoint,19,2.204663e-13,0.138,0.29
321,test_large_N_adjoint,20,2.204663e-13,0.138,0.31
322,test_large_N_adjoint,21,2.204663e-13,0.138,0.37
323,test_large_N_adjoint,22,2.204663e-13,0.138,0.32
324,test_large_N_adjoint,23,2.204663e-13,0.138,0.29
325,test_large_N_adjoint,24,2.204663e-13,0.138,0.30
326,test_large_N_adjoint,25,2.204663e-13,0.138,0.33
327,test_large_N_adjoint,26,2.204663e-13,0.138,0.30
328,test_large_N_adjoint,27,2.204663e-13,0.138,0.29
329,test_large_N_adjoint,28,2.204663e-13,0.138,0.28
330,test_large_N_adjoint,29,2.204663e-13,0.138,0.30
331,test_large_N_adjoint,30,2.204663e-13,0.138,0.28
332,test_large_N_adjoint,31,2.204663e-13,0.138,0.26
333,test_large_N_adjoint,32,2.204663e-13,0.138,0.29
334,test_large_N_adjoint,33,2.204663e-13,0.138,0.27
335,test_large_N_adjoint,34,2.204663e-13,0.138,0.28
336,test_large_N_adjoint,35,2.204663e-13,0.138,0.28
337,test_large_N_adjoint,36,2.204663e-13,0.138,0.31
338,test_large_N_adjoint,37,2.204663e-13,0.138,0.29
339,test_large_N_adjoint,38,2.204663e-13,0.138,0.28
340,test_large_N_adjoint,39,2.204663e-13,0.138,0.28
341,test_large_N_adjoint,40,2.204663e-13,0.138,0.32
342,test_large_N_adjoint,41,2.204663e-13,0.138,0.29
343,test_large_N_adjoint,42,2.204663e-13,0.138,0.25
344,test_large_N_adjoint,43,2.204663e-13,0.138,0.31
345,test_large_N_adjoint,44,2.204663e-13,0.138,0.27
346,test_large_N_adjoint,45,2.204663e-13,0.138,0.28
347,test_large_N_adjoint,46,2.204663e-13,0.138,0.27
348,test_large_N_adjoint,47,2.204663e-13,0.138,0.29
349,test_large_N_adjoint,48,2.204663e-13,0.138,0.28
350,test_large_N_adjoint,49,2.204663e-13,0.138,0.29
351,test_open_domain,0,2.204663e-13,0.138,0.41
352,test_open_domain,1,2.204663e-13,0.138,0.37
353,test_open_domain,2,2.204663e-13,0.138,0.33
354,test_open_domain,3,2.204663e-13,0.138,0.34
355,test_open_domain,4,2.204663e-13,0.138,0.41
356,test_open_domain,5,2.204663e-13,0.138,0.34
357,test_open_domain,6,2.204663e-13,0.138,0.27
358,test_open_domain,7,2.204663e-13,0.138,0.29
359,test_open_domain,8,2.204663e-13,0.138,0.30
360,test_open_domain,9,2.204663e-13,0.138,0.30
361,test_open_domain,10,2.204663e-13,0.138,0.30
362,test_open_domain,11,2.204663e-13,0.138,0.37
363,test_open_domain,12,2.204663e-13,0.138,0.32
364,test_open_domain,13,2.204663e-13,0.138,0.29
365,test_open_domain,14,2.204663e-13,0.138,0.31
366,test_open_domain,15,2.204663e-13,0.138,0.29
367,test_open_domain,16,2.204663e-13,0.138,0.28
368,test_open_domain,17,2.204663e-13,0.138,0.29
369,test_open_domain,18,2.204663e-13,0.138,0.29
370,test_open_domain,19,2.204663e-13,0.138,0.29
371,test_open_domain,20,2.204663e-13,0.138,0.29
372,test_open_domain,21,2.204663e-13,0.138,0.28
373,test_open_domain,22,2.204663e-13,0.138,0.29
374,test_open_domain,23,2.204663e-13,0.138,0.28
375,test_open_domain,24,2.204663e-13,0.138,0.28
376,test_open_domain,25,2.204663e-13,0.138,0.32
377,test_open_domain,26,2.204663e-13,0.138,0.30
378,test_open_domain,27,2.204663e-13,0.138,0.30
379,test_open_domain,28,2.204663e-13,0.138,0.28
380,test_open_domain,29,2.204663e-13,0.138,0.29
381,test_open_domain,30,2.204663e-13,0.138,0.30
382,test_open_domain,31,2.204663e-13,0.138,0.27
383,test_open_domain,32,2.204663e-13,0.138,0.28
384,test_open_domain,33,2.204663e-13,0.138,0.29
385,test_open_domain,34,2.204663e-13,0.138,0.29
386,test_open_domain,35,2.204663e-13,0.138,0.37
387,test_open_domain,36,2.204663e-13,0.138,0.38
388,test_open_domain,37,2.204663e-13,0.138,0.42
389,test_open_domain,38,2.204663e-13,0.138,0.31
390,test_open_domain,39,2.204663e-13,0.138,0.31
391,test_open_domain,40,2.204663e-13,0.138,0.32
392,test_open_domain,41,2.204663e-13,0.138,0.35
393,test_open_domain,42,2.204663e-13,0.138,0.33
394,test_open_domain,43,2.204663e-13,0.138,0.34
395,test_open_domain,44,2.204663e-13,0.138,0.30
396,test_open_domain,45,2.204663e-13,0.138,0.35
397,test_open_domain,46,2.204663e-13,0.138,0.32
398,test_open_domain,47,2.204663e-13,0.138,0.36
399,test_open_domain,48,2.204663e-13,0.138,0.32
400,test_open_domain,49,2.204663e-13,0.138,0.32
401,test_directional,0,2.204663e-13,0.138,0.44
402,test_directional,1,2.204663e-13,0.138,0.40
403,test_directional,2,2.204663e-13,0.138,0.30
404,test_directional,3,2.204663e-13,0.138,0.31
405,test_directional,4,2.204663e-13,0.138,0.30
406,test_directional,5,2.204663e-13,0.138,0.26
407,test_directional,6,2.204663e-13,0.138,0.28
408,test_directional,7,2.204663e-13,0.138,0.30
409,test_directional,8,2.204663e-13,0.138,0.30
410,test_directional,9,2.204663e-13,0.138,0.30
411,test_directional,10,2.204663e-13,0.138,0.28
412,test_directional,11,2.204663e-13,0.138,0.27
413,test_directional,12,2.204663e-13,0.138,0.29
414,test_directional,13,2.204663e-13,0.138,0.26
415,test_directional,14,2.204663e-13,0.138,0.27
416,test_directional,15,2.204663e-13,0.138,0.28
417,test_directional,16,2.204663e-13,0.138,0.29
418,test_directional,17,2.204663e-13,0.138,0.27
419,test_directional,18,2.204663e-13,0.138,0.28
420,test_directional,19,2.204663e-13,0.138,0.29
421,test_directional,20,2.204663e-13,0.138,0.33
422,test_directional,21,2.204663e-13,0.138,0.31
423,test_directional,22,2.204663e-13,0.138,0.29
424,test_directional,23,2.204663e-13,0.138,0.30
425,test_directional,24,2.204663e-13,0.138,0.29
426,test_directional,25,2.204663e-13,0.138,0.29
427,test_directional,26,2.204663e-13,0.138,0.29
428,test_directional,27,2.204663e-13,0.138,0.28
429,test_directional,28,2.204663e-13,0.138,0.28
430,test_directional,29,2.204663e-13,0.138,0.28
431,test_directional,30,2.204663e-13,0.138,0.29
432,test_directional,31,2.204663e-13,0.138,0.32
433,test_directional,32,2.204663e-13,0.138,0.35
434,test_directional,33,2.204663e-13,0.138,0.40
435,test_directional,34,2.204663e-13,0.138,0.29
436,test_directional,35,2.204663e-13,0.138,0.30
437,test_directional,36,2.204663e-13,0.138,0.30
438,test_directional,37,2.204663e-13,0.138,0.32
439,test_directional,38,2.204663e-13,0.138,0.31
440,test_directional,39,2.204663e-13,0.138,0.29
441,test_directional,40,2.204663e-13,0.138,0.28
442,test_directional,41,2.204663e-13,0.138,0.30
443,test_directional,42,2.204663e-13,0.138,0.28
444,test_directional,43,2.204663e-13,0.138,0.30
445,test_directional,44,2.204663e-13,0.138,0.27
446,test_directional,45,2.204663e-13,0.138,0.29
447,test_directional,46,2.204663e-13,0.138,0.28
448,test_directional,47,2.204663e-13,0.138,0.30
449,test_directional,48,2.204663e-13,0.138,0.30
450,test_directional,49,2.204663e-13,0.138,0.28
451,test_constrain_isotropic,0,2.204663e-13,0.138,0.42
452,test_constrain_isotropic,1,2.204663e-13,0.138,0.35
453,test_constrain_isotropic,2,2.204663e-13,0.138,0.31
454,test_constrain_isotropic,3,2.204663e-13,0.138,0.37
455,test_constrain_isotropic,4,2.204663e-13,0.138,0.29
456,test_constrain_isotropic,5,2.204663e-13,0.138,0.29
457,test_constrain_isotropic,6,2.204663e-13,0.138,0.29
458,test_constrain_isotropic,7,2.204663e-13,0.138,0.29
459,test_constrain_isotropic,8,2.204663e-13,0.138,0.31
460,test_constrain_isotropic,9,2.204663e-13,0.138,0.28
461,test_constrain_isotropic,10,2.204663e-13,0.138,0.27
462,test_constrain_isotropic,11,2.204663e-13,0.138,0.30
463,test_constrain_isotropic,12,2.204663e-13,0.138,0.28
464,test_constrain_isotropic,13,2.204663e-13,0.138,0.29
465,test_constrain_isotropic,14,2.204663e-13,0.138,0.28
466,test_constrain_isotropic,15,2.204663e-13,0.138,0.28
467,test_constrain_isotropic,16,2.204663e-13,0.138,0.27
468,test_constrain_isotropic,17,2.204663e-13,0.138,0.29
469,test_constrain_isotropic,18,2.204663e-13,0.138,0.27
470,test_constrain_isotropic,19,2.204663e-13,0.138,0.33
471,test_constrain_isotropic,20,2.204663e-13,0.138,0.30
472,test_constrain_isotropic,21,2.204663e-13,0.138,0.30
473,test_constrain_isotropic,22,2.204663e-13,0.138,0.35
474,test_constrain_isotropic,23,2.204663e-13,0.138,0.31
475,test_constrain_isotropic,24,2.204663e-13,0.138,0.28
476,test_constrain_isotropic,25,2.204663e-13,0.138,0.31
477,test_constrain_isotropic,26,2.204663e-13,0.138,0.29
478,test_constrain_isotropic,27,2.204663e-13,0.138,0.30
479,test_constrain_isotropic,28,2.204663e-13,0.138,0.29
480,test_constrain_isotropic,29,2.204663e-13,0.138,0.28
481,test_constrain_isotropic,30,2.204663e-13,0.138,0.28
482,test_constrain_isotropic,31,2.204663e-13,0.138,0.27
483,test_constrain_isotropic,32,2.204663e-13,0.138,0.29
484,test_constrain_isotropic,33,2.204663e-13,0.138,0.28
485,test_constrain_isotropic,34,2.204663e-13,0.138,0.40
486,test_constrain_isotropic,35,2.204663e-13,0.138,0.39
487,test_constrain_isotropic,36,2.204663e-13,0.138,0.45
488,test_constrain_isotropic,37,2.204663e-13,0.138,0.42
489,test_constrain_isotropic,38,2.204663e-13,0.138,0.33
490,test_constrain_isotropic,39,2.204663e-13,0.138,0.31
491,test_constrain_isotropic,40,2.204663e-13,0.138,0.30
492,test_constrain_isotropic,41,2.204663e-13,0.138,0.28
493,test_constrain_isotropic,42,2.204663e-13,0.138,0.29
494,test_constrain_isotropic,43,2.204663e-13,0.138,0.28
495,test_constrain_isotropic,44,2.204663e-13,0.138,0.29
496,test_constrain_isotropic,45,2.204663e-13,0.138,0.27
