i,after,rep,vs,ratio_to_baseline,secs
100,test_round_trip,49,2.204663e-13,0.138,0.34
101,test_property_auxetic,0,2.204663e-13,0.138,0.41
102,test_property_auxetic,1,2.204663e-13,0.138,0.33
103,test_property_auxetic,2,2.204663e-13,0.138,0.32
104,test_property_auxetic,3,2.204663e-13,0.138,0.31
105,test_property_auxetic,4,2.204663e-13,0.138,0.31
106,test_property_auxetic,5,2.204663e-13,0.138,0.30
107,test_property_auxetic,6,2.204663e-13,0.138,0.31
108,test_property_auxetic,7,2.204663e-13,0.138,0.32
109,test_property_auxetic,8,2.204663e-13,0.138,0.30
110,test_property_auxetic,9,2.204663e-13,0.138,0.29
111,test_property_auxetic,10,2.204663e-13,0.138,0.30
112,test_property_auxetic,11,2.204663e-13,0.138,0.32
113,test_property_auxetic,12,2.204663e-13,0.138,0.29
114,test_property_auxetic,13,2.204663e-13,0.138,0.30
115,test_property_auxetic,14,2.204663e-13,0.138,0.31
116,test_property_auxetic,15,2.204663e-13,0.138,0.32
117,test_property_auxetic,16,2.204663e-13,0.138,0.32
118,test_property_auxetic,17,2.204663e-13,0.138,0.54
119,test_property_auxetic,18,2.204663e-13,0.138,0.33
120,test_property_auxetic,19,2.204663e-13,0.138,0.34
121,test_property_auxetic,20,2.204663e-13,0.138,0.31
122,test_property_auxetic,21,2.204663e-13,0.138,0.30
123,test_property_auxetic,22,2.204663e-13,0.138,0.29
124,test_property_auxetic,23,2.204663e-13,0.138,0.36
125,test_property_auxetic,24,2.204663e-13,0.138,0.32
126,test_property_auxetic,25,2.204663e-13,0.138,0.44
127,test_property_auxetic,26,2.204663e-13,0.138,0.42
128,test_property_auxetic,27,2.204663e-13,0.138,0.37
129,test_property_auxetic,28,2.204663e-13,0.138,0.33
130,test_property_auxetic,29,2.204663e-13,0.138,0.33
131,test_property_auxetic,30,2.204663e-13,0.138,0.30
132,test_property_auxetic,31,2.204663e-13,0.138,0.30
133,test_property_auxetic,32,2.204663e-13,0.138,0.31
134,test_property_auxetic,33,2.204663e-13,0.138,0.28
135,test_property_auxetic,34,2.204663e-13,0.138,0.28
136,test_property_auxetic,35,2.204663e-13,0.138,0.30
137,test_property_auxetic,36,2.204663e-13,0.138,0.28
138,test_property_auxetic,37,2.204663e-13,0.138,0.28
139,test_property_auxetic,38,2.204663e-13,0.138,0.29
140,test_property_auxetic,39,2.204663e-13,0.138,0.31
141,test_property_auxetic,40,2.204663e-13,0.138,0.36
142,test_property_auxetic,41,2.204663e-13,0.138,0.32
143,test_property_auxetic,42,2.204663e-13,0.138,0.33
144,test_property_auxetic,43,2.204663e-13,0.138,0.31
145,test_property_auxetic,44,2.204663e-13,0.138,0.33
146,test_property_auxetic,45,2.204663e-13,0.138,0.32
147,test_property_auxetic,46,2.204663e-13,0.138,0.28
148,test_property_auxetic,47,2.204663e-13,0.138,0.29
149,test_property_auxetic,48,2.204663e-13,0.138,0.32
150,test_property_auxetic,49,2.204663e-13,0.138,0.35
151,test_property_E,0,2.204663e-13,0.138,0.47
152,test_property_E,1,2.204663e-13,0.138,0.39
153,test_property_E,2,2.204663e-13,0.138,0.43
154,test_property_E,3,2.204663e-13,0.138,0.38
155,test_property_E,4,2.204663e-13,0.138,0.35
156,test_property_E,5,2.204663e-13,0.138,0.33
157,test_property_E,6,2.204663e-13,0.138,0.44
158,test_property_E,7,2.204663e-13,0.138,0.44
159,test_property_E,8,2.204663e-13,0.138,0.43
160,test_property_E,9,2.204663e-13,0.138,0.32
161,test_property_E,10,2.204663e-13,0.138,0.37
162,test_property_E,11,2.204663e-13,0.138,0.34
163,test_property_E,12,2.204663e-13,0.138,0.33
164,test_property_E,13,2.204663e-13,0.138,0.32
165,test_property_E,14,2.204663e-13,0.138,0.30
166,test_property_E,15,2.204663e-13,0.138,0.31
167,test_property_E,16,2.204663e-13,0.138,0.32
168,test_property_E,17,2.204663e-13,0.138,0.32
169,test_property_E,18,2.204663e-13,0.138,0.31
170,test_property_E,19,2.204663e-13,0.138,0.31
171,test_property_E,20,2.204663e-13,0.138,0.30
172,test_property_E,21,2.204663e-13,0.138,0.30
173,test_property_E,22,2.204663e-13,0.138,0.27
174,test_property_E,23,2.204663e-13,0.138,0.31
175,test_property_E,24,2.204663e-13,0.138,0.36
176,test_property_E,25,2.204663e-13,0.138,0.36
177,test_property_E,26,2.204663e-13,0.138,0.40
178,test_property_E,27,2.204663e-13,0.138,0.33
179,test_property_E,28,2.204663e-13,0.138,0.31
180,test_property_E,29,2.204663e-13,0.138,0.31
181,test_property_E,30,2.204663e-13,0.138,0.35
182,test_property_E,31,2.204663e-13,0.138,0.33
183,test_property_E,32,2.204663e-13,0.138,0.32
184,test_property_E,33,2.204663e-13,0.138,0.31
185,test_property_E,34,2.204663e-13,0.138,0.32
186,test_property_E,35,2.204663e-13,0.138,0.34
187,test_property_E,36,2.204663e-13,0.138,0.30
188,test_property_E,37,2.204663e-13,0.138,0.31
189,test_property_E,38,2.204663e-13,0.138,0.30
190,test_property_E,39,2.204663e-13,0.138,0.41
191,test_property_E,40,2.204663e-13,0.138,0.33
192,test_property_E,41,2.204663e-13,0.138,0.37
193,test_property_E,42,2.204663e-13,0.138,0.32
194,test_property_E,43,2.204663e-13,0.138,0.32
195,test_property_E,44,2.204663e-13,0.138,0.33
196,test_property_E,45,2.204663e-13,0.138,0.31
197,test_property_E,46,2.204663e-13,0.138,0.33
198,test_property_E,47,2.204663e-13,0.138,0.31
199,test_property_E,48,2.204663e-13,0.138,0.32
200,test_property_E,49,2.204663e-13,0.138,0.30
201,test_local_region,0,2.204663e-13,0.138,0.37
202,test_local_region,1,2.204663e-13,0.138,0.31
203,test_local_region,2,2.204663e-13,0.138,0.30
204,test_local_region,3,2.204663e-13,0.138,0.31
205,test_local_region,4,2.204663e-13,0.138,0.30
206,test_local_region,5,2.204663e-13,0.138,0.32
207,test_local_region,6,2.204663e-13,0.138,0.31
208,test_local_region,7,2.204663e-13,0.138,0.32
209,test_local_region,8,2.204663e-13,0.138,0.30
210,test_local_region,9,2.204663e-13,0.138,0.29
211,test_local_region,10,2.204663e-13,0.138,0.29
212,test_local_region,11,2.204663e-13,0.138,0.28
213,test_local_region,12,2.204663e-13,0.138,0.32
214,test_local_region,13,2.204663e-13,0.138,0.43
215,test_local_region,14,2.204663e-13,0.138,0.44
216,test_local_region,15,2.204663e-13,0.138,0.33
217,test_local_region,16,2.204663e-13,0.138,0.31
218,test_local_region,17,2.204663e-13,0.138,0.32
219,test_local_region,18,2.204663e-13,0.138,0.31
220,test_local_region,19,2.204663e-13,0.138,0.30
221,test_local_region,20,2.204663e-13,0.138,0.33
222,test_local_region,21,2.204663e-13,0.138,0.36
223,test_local_region,22,2.204663e-13,0.138,0.31
224,test_local_region,23,2.204663e-13,0.138,0.33
225,test_local_region,24,2.204663e-13,0.138,0.34
226,test_local_region,25,2.204663e-13,0.138,0.31
227,test_local_region,26,2.204663e-13,0.138,0.30
228,test_local_region,27,2.204663e-13,0.138,0.33
229,test_local_region,28,2.204663e-13,0.138,0.33
230,test_local_region,29,2.204663e-13,0.138,0.31
231,test_local_region,30,2.204663e-13,0.138,0.32
232,test_local_region,31,2.204663e-13,0.138,0.51
233,test_local_region,32,2.204663e-13,0.138,0.31
234,test_local_region,33,2.204663e-13,0.138,0.31
235,test_local_region,34,2.204663e-13,0.138,0.31
236,test_local_region,35,2.204663e-13,0.138,0.31
237,test_local_region,36,2.204663e-13,0.138,0.30
238,test_local_region,37,2.204663e-13,0.138,0.30
239,test_local_region,38,2.204663e-13,0.138,0.29
240,test_local_region,39,2.204663e-13,0.138,0.31
241,test_local_region,40,2.204663e-13,0.138,0.33
242,test_local_region,41,2.204663e-13,0.138,0.30
243,test_local_region,42,2.204663e-13,0.138,0.31
244,test_local_region,43,2.204663e-13,0.138,0.31
245,test_local_region,44,2.204663e-13,0.138,0.32
246,test_local_region,45,2.204663e-13,0.138,0.36
247,test_local_region,46,2.204663e-13,0.138,0.32
248,test_local_region,47,2.204663e-13,0.138,0.43
249,test_local_region,48,2.204663e-13,0.138,0.32
250,test_local_region,49,2.204663e-13,0.138,0.33
251,test_mixed_global_local,0,2.204663e-13,0.138,0.32
252,test_mixed_global_local,1,2.204663e-13,0.138,0.31
253,test_mixed_global_local,2,2.204663e-13,0.138,0.55
254,test_mixed_global_local,3,2.204663e-13,0.138,0.33
255,test_mixed_global_local,4,2.204663e-13,0.138,0.29
256,test_mixed_global_local,5,2.204663e-13,0.138,0.31
257,test_mixed_global_local,6,2.204663e-13,0.138,0.29
258,test_mixed_global_local,7,2.204663e-13,0.138,0.30
259,test_mixed_global_local,8,2.204663e-13,0.138,0.31
260,test_mixed_global_local,9,2.204663e-13,0.138,0.32
261,test_mixed_global_local,10,2.204663e-13,0.138,0.30
262,test_mixed_global_local,11,2.204663e-13,0.138,0.31
263,test_mixed_global_local,12,2.204663e-13,0.138,0.35
264,test_mixed_global_local,13,2.204663e-13,0.138,0.43
