i,after,rep,vs,ratio_to_baseline,secs
487,test_constrain_isotropic,36,2.204663e-13,0.138,0.32
488,test_constrain_isotropic,37,2.204663e-13,0.138,0.31
489,test_constrain_isotropic,38,2.204663e-13,0.138,0.30
490,test_constrain_isotropic,39,2.204663e-13,0.138,0.35
491,test_constrain_isotropic,40,2.204663e-13,0.138,0.32
492,test_constrain_isotropic,41,2.204663e-13,0.138,0.35
493,test_constrain_isotropic,42,2.204663e-13,0.138,0.32
494,test_constrain_isotropic,43,2.204663e-13,0.138,0.30
495,test_constrain_isotropic,44,2.204663e-13,0.138,0.27
496,test_constrain_isotropic,45,2.204663e-13,0.138,0.28
497,test_constrain_isotropic,46,2.204663e-13,0.138,0.26
498,test_constrain_isotropic,47,2.204663e-13,0.138,0.28
499,test_constrain_isotropic,48,2.204663e-13,0.138,0.28
500,test_constrain_isotropic,49,2.204663e-13,0.138,0.27
501,test_strain_stress_equivalence,0,2.204663e-13,0.138,0.28
502,test_strain_stress_equivalence,1,2.204663e-13,0.138,0.34
503,test_strain_stress_equivalence,2,2.204663e-13,0.138,0.40
504,test_strain_stress_equivalence,3,2.204663e-13,0.138,0.28
505,test_strain_stress_equivalence,4,2.204663e-13,0.138,0.30
506,test_strain_stress_equivalence,5,2.204663e-13,0.138,0.28
507,test_strain_stress_equivalence,6,2.204663e-13,0.138,0.27
508,test_strain_stress_equivalence,7,2.204663e-13,0.138,0.28
509,test_strain_stress_equivalence,8,2.204663e-13,0.138,0.27
510,test_strain_stress_equivalence,9,2.204663e-13,0.138,0.31
511,test_strain_stress_equivalence,10,2.204663e-13,0.138,0.30
512,test_strain_stress_equivalence,11,2.204663e-13,0.138,0.30
513,test_strain_stress_equivalence,12,2.204663e-13,0.138,0.30
514,test_strain_stress_equivalence,13,2.204663e-13,0.138,0.31
515,test_strain_stress_equivalence,14,2.204663e-13,0.138,0.27
516,test_strain_stress_equivalence,15,2.204663e-13,0.138,0.30
517,test_strain_stress_equivalence,16,2.204663e-13,0.138,0.31
518,test_strain_stress_equivalence,17,2.204663e-13,0.138,0.30
519,test_strain_stress_equivalence,18,2.204663e-13,0.138,0.32
520,test_strain_stress_equivalence,19,2.204663e-13,0.138,0.36
521,test_strain_stress_equivalence,20,2.204663e-13,0.138,0.36
522,test_strain_stress_equivalence,21,2.204663e-13,0.138,0.28
523,test_strain_stress_equivalence,22,2.204663e-13,0.138,0.28
524,test_strain_stress_equivalence,23,2.204663e-13,0.138,0.27
525,test_strain_stress_equivalence,24,2.204663e-13,0.138,0.30
526,test_strain_stress_equivalence,25,2.204663e-13,0.138,0.28
527,test_strain_stress_equivalence,26,2.204663e-13,0.138,0.30
528,test_strain_stress_equivalence,27,2.204663e-13,0.138,0.27
529,test_strain_stress_equivalence,28,2.204663e-13,0.138,0.29
530,test_strain_stress_equivalence,29,2.204663e-13,0.138,0.28
531,test_strain_stress_equivalence,30,2.204663e-13,0.138,0.32
532,test_strain_stress_equivalence,31,2.204663e-13,0.138,0.31
533,test_strain_stress_equivalence,32,2.204663e-13,0.138,0.27
534,test_strain_stress_equivalence,33,2.204663e-13,0.138,0.29
535,test_strain_stress_equivalence,34,2.204663e-13,0.138,0.28
536,test_strain_stress_equivalence,35,2.204663e-13,0.138,0.27
537,test_strain_stress_equivalence,36,2.204663e-13,0.138,0.27
538,test_strain_stress_equivalence,37,2.204663e-13,0.138,0.27
539,test_strain_stress_equivalence,38,2.204663e-13,0.138,0.28
540,test_strain_stress_equivalence,39,2.204663e-13,0.138,0.28
541,test_strain_stress_equivalence,40,2.204663e-13,0.138,0.30
542,test_strain_stress_equivalence,41,2.204663e-13,0.138,0.28
543,test_strain_stress_equivalence,42,2.204663e-13,0.138,0.27
544,test_strain_stress_equivalence,43,2.204663e-13,0.138,0.29
545,test_strain_stress_equivalence,44,2.204663e-13,0.138,0.29
546,test_strain_stress_equivalence,45,2.204663e-13,0.138,0.53
547,test_strain_stress_equivalence,46,2.204663e-13,0.138,0.37
548,test_strain_stress_equivalence,47,2.204663e-13,0.138,0.29
549,test_strain_stress_equivalence,48,2.204663e-13,0.138,0.30
550,test_strain_stress_equivalence,49,2.204663e-13,0.138,0.38
551,test_strain_stress_autograd,0,2.204663e-13,0.138,0.32
552,test_strain_stress_autograd,1,2.204663e-13,0.138,0.29
553,test_strain_stress_autograd,2,2.204663e-13,0.138,0.31
554,test_strain_stress_autograd,3,2.204663e-13,0.138,0.31
555,test_strain_stress_autograd,4,2.204663e-13,0.138,0.31
556,test_strain_stress_autograd,5,2.204663e-13,0.138,0.31
557,test_strain_stress_autograd,6,2.204663e-13,0.138,0.31
558,test_strain_stress_autograd,7,2.204663e-13,0.138,0.28
559,test_strain_stress_autograd,8,2.204663e-13,0.138,0.31
560,test_strain_stress_autograd,9,2.204663e-13,0.138,0.31
561,test_strain_stress_autograd,10,2.204663e-13,0.138,0.29
562,test_strain_stress_autograd,11,2.204663e-13,0.138,0.30
563,test_strain_stress_autograd,12,2.204663e-13,0.138,0.28
564,test_strain_stress_autograd,13,2.204663e-13,0.138,0.27
565,test_strain_stress_autograd,14,2.204663e-13,0.138,0.29
566,test_strain_stress_autograd,15,2.204663e-13,0.138,0.31
567,test_strain_stress_autograd,16,2.204663e-13,0.138,0.34
568,test_strain_stress_autograd,17,2.204663e-13,0.138,0.31
569,test_strain_stress_autograd,18,2.204663e-13,0.138,0.29
570,test_strain_stress_autograd,19,2.204663e-13,0.138,0.29
571,test_strain_stress_autograd,20,2.204663e-13,0.138,0.29
572,test_strain_stress_autograd,21,2.204663e-13,0.138,0.28
573,test_strain_stress_autograd,22,2.204663e-13,0.138,0.26
574,test_strain_stress_autograd,23,2.204663e-13,0.138,0.27
575,test_strain_stress_autograd,24,2.204663e-13,0.138,0.27
576,test_strain_stress_autograd,25,2.204663e-13,0.138,0.26
577,test_strain_stress_autograd,26,2.204663e-13,0.138,0.28
578,test_strain_stress_autograd,27,2.204663e-13,0.138,0.31
579,test_strain_stress_autograd,28,2.204663e-13,0.138,0.27
580,test_strain_stress_autograd,29,2.204663e-13,0.138,0.27
581,test_strain_stress_autograd,30,2.204663e-13,0.138,0.28
582,test_strain_stress_autograd,31,2.204663e-13,0.138,0.28
583,test_strain_stress_autograd,32,2.204663e-13,0.138,0.28
584,test_strain_stress_autograd,33,2.204663e-13,0.138,0.28
585,test_strain_stress_autograd,34,2.204663e-13,0.138,0.32
586,test_strain_stress_autograd,35,2.204663e-13,0.138,0.34
587,test_strain_stress_autograd,36,2.204663e-13,0.138,0.32
588,test_strain_stress_autograd,37,2.204663e-13,0.138,0.33
589,test_strain_stress_autograd,38,2.204663e-13,0.138,0.37
590,test_strain_stress_autograd,39,2.204663e-13,0.138,0.34
591,test_strain_stress_autograd,40,2.204663e-13,0.138,0.28
592,test_strain_stress_autograd,41,2.204663e-13,0.138,0.29
593,test_strain_stress_autograd,42,2.204663e-13,0.138,0.27
594,test_strain_stress_autograd,43,2.204663e-13,0.138,0.27
595,test_strain_stress_autograd,44,2.204663e-13,0.138,0.28
596,test_strain_stress_autograd,45,2.204663e-13,0.138,0.28
597,test_strain_stress_autograd,46,2.204663e-13,0.138,0.27
598,test_strain_stress_autograd,47,2.204663e-13,0.138,0.28
599,test_strain_stress_autograd,48,2.204663e-13,0.138,0.31
600,test_strain_stress_autograd,49,2.204663e-13,0.138,0.34
601,test_strain_stress_design,0,2.204663e-13,0.138,0.32
602,test_strain_stress_design,1,2.204663e-13,0.138,0.29
603,test_strain_stress_design,2,2.204663e-13,0.138,0.27
604,test_strain_stress_design,3,2.204663e-13,0.138,0.27
605,test_strain_stress_design,4,2.204663e-13,0.138,0.28
606,test_strain_stress_design,5,2.204663e-13,0.138,0.30
607,test_strain_stress_design,6,2.204663e-13,0.138,0.41
608,test_strain_stress_design,7,2.204663e-13,0.138,0.30
609,test_strain_stress_design,8,2.204663e-13,0.138,0.34
610,test_strain_stress_design,9,2.204663e-13,0.138,0.39
611,test_strain_stress_design,10,2.204663e-13,0.138,0.31
612,test_strain_stress_design,11,2.204663e-13,0.138,0.30
613,test_strain_stress_design,12,2.204663e-13,0.138,0.31
614,test_strain_stress_design,13,2.204663e-13,0.138,0.29
615,test_strain_stress_design,14,2.204663e-13,0.138,0.28
616,test_strain_stress_design,15,2.204663e-13,0.138,0.28
617,test_strain_stress_design,16,2.204663e-13,0.138,0.27
618,test_strain_stress_design,17,2.204663e-13,0.138,0.28
619,test_strain_stress_design,18,2.204663e-13,0.138,0.27
620,test_strain_stress_design,19,2.204663e-13,0.138,0.28
621,test_strain_stress_design,20,2.204663e-13,0.138,0.47
622,test_strain_stress_design,21,2.204663e-13,0.138,0.32
623,test_strain_stress_design,22,2.204663e-13,0.138,0.33
624,test_strain_stress_design,23,2.204663e-13,0.138,0.34
625,test_strain_stress_design,24,2.204663e-13,0.138,0.34
626,test_strain_stress_design,25,2.204663e-13,0.138,0.28
627,test_strain_stress_design,26,2.204663e-13,0.138,0.27
628,test_strain_stress_design,27,2.204663e-13,0.138,0.28
629,test_strain_stress_design,28,2.204663e-13,0.138,0.30
630,test_strain_stress_design,29,2.204663e-13,0.138,0.27
631,test_strain_stress_design,30,2.204663e-13,0.138,0.28
632,test_strain_stress_design,31,2.204663e-13,0.138,0.27
633,test_strain_stress_design,32,2.204663e-13,0.138,0.29
634,test_strain_stress_design,33,2.204663e-13,0.138,0.34
635,test_strain_stress_design,34,2.204663e-13,0.138,0.33
636,test_strain_stress_design,35,2.204663e-13,0.138,0.28
637,test_strain_stress_design,36,2.204663e-13,0.138,0.29
638,test_strain_stress_design,37,2.204663e-13,0.138,0.30
639,test_strain_stress_design,38,2.204663e-13,0.138,0.32
640,test_strain_stress_design,39,2.204663e-13,0.138,0.34
641,test_strain_stress_design,40,2.204663e-13,0.138,0.33
642,test_strain_stress_design,41,2.204663e-13,0.138,0.30
643,test_strain_stress_design,42,2.204663e-13,0.138,0.27
644,test_strain_stress_design,43,2.204663e-13,0.138,0.29
645,test_strain_stress_design,44,2.204663e-13,0.138,0.30
646,test_strain_stress_design,45,2.204663e-13,0.138,0.28
647,test_strain_stress_design,46,2.204663e-13,0.138,0.29
648,test_strain_stress_design,47,2.204663e-13,0.138,0.51
649,test_strain_stress_design,48,2.204663e-13,0.138,0.34
650,test_strain_stress_design,49,2.204663e-13,0.138,0.52
651,test_homogeneity_regularizer,0,2.204663e-13,0.138,0.30
652,test_homogeneity_regularizer,1,2.204663e-13,0.138,0.27
653,test_homogeneity_regularizer,2,2.204663e-13,0.138,0.29
654,test_homogeneity_regularizer,3,2.204663e-13,0.138,0.32
655,test_homogeneity_regularizer,4,2.204663e-13,0.138,0.26
656,test_homogeneity_regularizer,5,2.204663e-13,0.138,0.27
657,test_homogeneity_regularizer,6,2.204663e-13,0.138,0.26
658,test_homogeneity_regularizer,7,2.204663e-13,0.138,0.28
659,test_homogeneity_regularizer,8,2.204663e-13,0.138,0.29
660,test_homogeneity_regularizer,9,2.204663e-13,0.138,0.29
661,test_homogeneity_regularizer,10,2.204663e-13,0.138,0.26
662,test_homogeneity_regularizer,11,2.204663e-13,0.138,0.28
663,test_homogeneity_regularizer,12,2.204663e-13,0.138,0.29
664,test_homogeneity_regularizer,13,2.204663e-13,0.138,0.31
665,test_homogeneity_regularizer,14,2.204663e-13,0.138,0.31
666,test_homogeneity_regularizer,15,2.204663e-13,0.138,0.27
667,test_homogeneity_regularizer,16,2.204663e-13,0.138,0.29
668,test_homogeneity_regularizer,17,2.204663e-13,0.138,0.29
669,test_homogeneity_regularizer,18,2.204663e-13,0.138,0.26
670,test_homogeneity_regularizer,19,2.204663e-13,0.138,0.27
671,test_homogeneity_regularizer,20,2.204663e-13,0.138,0.28
672,test_homogeneity_regularizer,21,2.204663e-13,0.138,0.27
673,test_homogeneity_regularizer,22,2.204663e-13,0.138,0.26
674,test_homogeneity_regularizer,23,2.204663e-13,0.138,0.26
675,test_homogeneity_regularizer,24,2.204663e-13,0.138,0.29
676,test_homogeneity_regularizer,25,2.204663e-13,0.138,0.26
677,test_homogeneity_regularizer,26,2.204663e-13,0.138,0.25
678,test_homogeneity_regularizer,27,2.204663e-13,0.138,0.24
679,test_homogeneity_regularizer,28,2.204663e-13,0.138,0.26
680,test_homogeneity_regularizer,29,2.204663e-13,0.138,0.28
681,test_homogeneity_regularizer,30,2.204663e-13,0.138,0.25
682,test_homogeneity_regularizer,31,2.204663e-13,0.138,0.26
683,test_homogeneity_regularizer,32,2.204663e-13,0.138,0.28
684,test_homogeneity_regularizer,33,2.204663e-13,0.138,0.25
685,test_homogeneity_regularizer,34,2.204663e-13,0.138,0.27
686,test_homogeneity_regularizer,35,2.204663e-13,0.138,0.26
687,test_homogeneity_regularizer,36,2.204663e-13,0.138,0.28
688,test_homogeneity_regularizer,37,2.204663e-13,0.138,0.25
689,test_homogeneity_regularizer,38,2.204663e-13,0.138,0.26
690,test_homogeneity_regularizer,39,2.204663e-13,0.138,0.25
691,test_homogeneity_regularizer,40,2.204663e-13,0.138,0.27
692,test_homogeneity_regularizer,41,2.204663e-13,0.138,0.25
693,test_homogeneity_regularizer,42,2.204663e-13,0.138,0.26
694,test_homogeneity_regularizer,43,2.204663e-13,0.138,0.25
695,test_homogeneity_regularizer,44,2.204663e-13,0.138,0.30
696,test_homogeneity_regularizer,45,2.204663e-13,0.138,0.39
697,test_homogeneity_regularizer,46,2.204663e-13,0.138,0.28
698,test_homogeneity_regularizer,47,2.204663e-13,0.138,0.28
699,test_homogeneity_regularizer,48,2.204663e-13,0.138,0.26
700,test_homogeneity_regularizer,49,2.204663e-13,0.138,0.30
