run_id,topo,topo_class,coord_sig,n_nodes,n_bond,nu_target,nu_initial,nu_achieved_sim,E_achieved_sim,err,nu_aniso_std,solver_sim_gap,trustworthy,select_score,status,error,design_loss,design_path
16,honeycomb,basis,3:0.03|4:0.08|5:0.23|6:0.31|7:0.22|8:0.11|9:0.02,64,192,-0.1,0.23370575127305324,-0.07997354486979112,0.6015032304517671,0.020026455130208884,0.014948073057715781,0.2753279731977573,0,0.15769044172908753,ok,,0.00027502308987019077,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2\UNTRUSTED_g12_honeycomb_m010.npz
17,honeycomb,basis,3:0.03|4:0.08|5:0.23|6:0.31|7:0.22|8:0.11|9:0.02,64,192,0.1,0.23370575127305324,0.10111583424567024,0.7522359844270179,0.0011158342456702303,0.009383356911185392,2.909491382189248e-11,1,0.0011158342602176873,ok,,8.929247299094056e-05,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2\design_g12_honeycomb_p010.npz
18,honeycomb,basis,3:0.03|4:0.08|5:0.23|6:0.31|7:0.22|8:0.11|9:0.02,64,192,0.2,0.23370575127305324,0.20262227011700995,0.8556849396389428,0.0026222701170099394,0.004555318906342569,1.2290141348057304e-11,1,0.00262227012315501,ok,,2.7627230900794465e-05,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2\design_g12_honeycomb_p020.npz
19,honeycomb,basis,3:0.03|4:0.08|5:0.23|6:0.31|7:0.22|8:0.11|9:0.02,64,192,0.3,0.23370575127305324,0.2979331447353198,0.9632995045620113,0.0020668552646802008,0.010229496016279713,3.3048228170449124e-12,1,0.002066855266332612,ok,,0.00010891447943184644,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2\design_g12_honeycomb_p030.npz
20,honeycomb,basis,3:0.03|4:0.08|5:0.23|6:0.31|7:0.22|8:0.11|9:0.02,64,192,0.4,0.23370575127305324,0.31053930210497976,0.9608318957850092,0.08946069789502026,0.019193568658711153,5.1988435284962324e-12,1,0.08946069789761968,ok,,0.008371609545715338,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2\design_g12_honeycomb_p040.npz
21,honeycomb,basis,3:0.03|4:0.08|5:0.23|6:0.31|7:0.22|8:0.11|9:0.02,64,192,0.6,0.23370575127305324,0.3104851577996014,0.9675206152302988,0.2895148422003986,0.02078237166482686,5.21419789350371e-12,1,0.28951484220300566,ok,,0.08425075082626673,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2\design_g12_honeycomb_p060.npz
22,honeycomb,basis,3:0.03|4:0.08|5:0.23|6:0.31|7:0.22|8:0.11|9:0.02,64,192,0.9,0.23370575127305324,0.3100667190390754,0.9608928599780956,0.5899332809609246,0.02163608699733561,4.585574449384504e-12,1,0.5899332809632174,ok,,0.3484893962457506,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2\design_g12_honeycomb_p090.npz
23,kagome,basis,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,54,162,-0.95,0.2380925614720717,-0.24453995088267783,0.5955623569364381,0.7054600491173222,0.06659499376523755,0.5534424537938005,0,0.9821812760142224,ok,,0.3935962413275112,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2\UNTRUSTED_g12_kagome_m095.npz
24,kagome,basis,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,54,162,-0.75,0.2380925614720717,-0.21077407532677353,0.6380756919374019,0.5392259246732265,0.06014627890495637,0.7224829008576922,0,0.9004673751020726,ok,,0.18402906213914716,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2\UNTRUSTED_g12_kagome_m075.npz
25,kagome,basis,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,54,162,-0.5,0.2380925614720717,-0.20983771709818208,0.6356567656179934,0.2901622829018179,0.058822997296634164,0.6714715427874844,0,0.6258980542955601,ok,,0.0390267728196588,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\g1_2\UNTRUSTED_g12_kagome_m050.npz
