demo,target_xx,target_xy,target_yy,achieved_diffpath_xx,achieved_diffpath_xy,achieved_diffpath_yy,achieved_independent_xx,achieved_independent_xy,achieved_independent_yy,err_diffpath,err_independent
stress_concentrator,0.35,0.0,0.0,0.3491949720279376,-6.649570611195831e-05,0.0003112108313006183,0.3493034620034199,-6.831231013952559e-05,0.00045813157915750827,0.0008,0.0007
strain_shield,0.02,0.0,0.02,0.0200105138785718,3.869329589393349e-06,0.019999932417672353,0.020146458047528074,-4.5317986402568045e-05,0.020141457752889957,0.0000,0.0001
strain_bulge,0.3,0.0,2.5,0.30002788084173615,7.888523905486e-07,2.4999912433316895,0.3027896079337638,-0.00012141673324288365,2.503671873137928,0.0000,0.0037
