topo,band,target_xx,target_xy,target_yy,achieved_diffpath_xx,achieved_diffpath_xy,achieved_diffpath_yy,achieved_independent_stress_xx,achieved_independent_stress_xy,achieved_independent_stress_yy,achieved_independent_strain_xx,achieved_independent_strain_xy,achieved_independent_strain_yy,err_diffpath,err_independent
regular,band0,0.8,0.0,0.8,0.7998096061584904,-3.652611548062643e-05,0.79982864380506,0.7997608830631175,-3.316293771130839e-05,0.7998036925166628,2.098490007352162,0.016524846057500424,2.500400109101148,0.0002,0.0002
regular,band1,0.4,0.0,0.4,0.3997886794188296,0.00014775720978486563,0.39988448562964696,0.40002566405253903,3.1830463510121315e-05,0.4004131928629891,1.7688865507142613,-0.010641131210472995,2.72867013205793,0.0002,0.0004
regular,band2,0.8,0.0,0.8,0.7994003613259151,-6.201681397986562e-05,0.7995477652610486,0.7994450546967422,-6.126987176313515e-05,0.7996513268385577,1.9797409544974607,-0.0029073070020249727,2.421711223148087,0.0006,0.0006
regular,band3,0.4,0.0,0.4,0.3997241189959153,0.000272302448067513,0.39998716957068575,0.40015084494688535,0.0002749072041083776,0.4005109053760625,1.7537855536855722,-0.009544675170850291,2.4532441369287734,0.0003,0.0005
disorder_hi,band0,0.8,0.0,0.8,0.7998340652033479,3.593881212553344e-06,0.7999153351131716,0.7999154029554442,-7.063413449846366e-06,0.7999994324014738,2.7582999306831395,-0.0751214374911807,2.569828051911634,0.0002,0.0001
disorder_hi,band1,0.4,0.0,0.4,0.4000862800328077,6.376337832261314e-05,0.39963383952144976,0.4011265746580197,8.494209123382213e-05,0.400514269905166,3.1283223933804423,-0.023250058325687138,3.0040006703448507,0.0004,0.0011
disorder_hi,band2,0.8,0.0,0.8,0.7995596486668013,5.869773534703058e-05,0.799088486606498,0.7999494451160889,0.00011401468467254848,0.7994801581528224,2.5332788816793097,0.0055581353493956865,2.728009815308101,0.0009,0.0005
disorder_hi,band3,0.4,0.0,0.4,0.39974837125412266,-8.755951594043818e-05,0.4001501577920736,0.4008723292686899,-0.00016876096062886807,0.40151849478331,2.6992294330903204,-0.0721207080365123,2.5703847493950303,0.0003,0.0015
