topology,eta,nu_left_solo,nu_center_solo,nu_right_solo,nu_left_glued,nu_center_glued,nu_right_glued,eyy_left_stretch,eyy_center_stretch,eyy_right_stretch
ordered,0.0,0.926,-1.194,0.926,0.150,0.090,0.143,-0.0042,0.0432,-0.0139
disordered,0.08,0.387,-0.420,0.389,0.141,0.130,0.142,-0.0014,0.0084,-0.0096
